Section,H,Tw
17,3.2,147.324
17,3.3,148.3966
17,3.4,151.0625
17,3.5,153.7284
17,3.6,156.3943
17,3.7,159.7115
17,3.8,163.68
17,3.9,167.6485
17,4,171.617
17,4.1,174.9809
17,4.2,176.9339
17,4.3,177.7371
17,4.4,178.4126
17,4.5,179.088
17,4.6,179.7635
17,4.7,180.439
17,4.8,181.1145
17,4.9,181.7899
17,5,182.4654
18,0.5,52.2804
18,0.6,62.7365
18,0.7,123.5603
18,0.8,124.5716
18,0.9,125.583
18,1,126.5943
18,1.1,127.6057
18,1.2,128.617
18,1.3,129.3903
18,1.4,129.8889
18,1.5,130.3876
18,1.6,130.8862
18,1.7,140.7737
18,1.8,150.6611
18,1.9,160.5485
18,2,170.4359
18,2.1,180.3233
18,2.2,188.3245
18,2.3,188.7804
18,2.4,189.2364
18,2.5,189.6924
18,2.6,190.1483
18,2.7,190.6043
18,2.8,191.0603
18,2.9,191.5162
18,3,191.9722
18,3.1,251.0742
18,3.2,251.8408
18,3.3,252.6075
18,3.4,253.3742
18,3.5,254.1408
18,3.6,254.9075
18,3.7,255.6741
18,3.8,256.4408
18,3.9,257.2075
18,4,257.9741
18,4.1,258.7408
18,4.2,259.5075
18,4.3,260.2741
18,4.4,261.0408
18,4.5,261.8075
18,4.6,262.5741
18,4.7,263.8539
18,4.8,265.3535
18,4.9,266.8532
18,5,268.3529
19,0.5,27.5443
19,0.6,52.4104
19,0.7,58.4256
19,0.8,59.1905
19,0.9,59.9553
19,1,60.7202
19,1.1,61.485
19,1.2,62.2499
19,1.3,63.0147
19,1.4,63.7796
19,1.5,64.4978
19,1.6,64.6884
19,1.7,64.8068
19,1.8,64.9253
19,1.9,65.0438
19,2,65.1623
19,2.1,65.2808
19,2.2,65.3992
19,2.3,65.5177
19,2.4,65.6541
19,2.5,65.8321
19,2.6,66.0101
19,2.7,66.1881
19,2.8,66.3662
19,2.9,66.5442
19,3,66.7222
19,3.1,66.9002
19,3.2,67.0783
19,3.3,67.2563
19,3.4,67.4488
19,3.5,67.675
19,3.6,67.9012
19,3.7,68.1274
19,3.8,68.3536
19,3.9,68.5798
19,4,68.806
19,4.1,69.0323
19,4.2,69.2585
19,4.3,69.4847
19,4.4,69.7109
19,4.5,69.9371
19,4.6,70.1878
19,4.7,70.4956
19,4.8,70.8035
19,4.9,71.1113
19,5,71.4191
21,0.5,133.0211
21,0.6,135.4238
21,0.7,137.8265
21,0.8,139.9067
21,0.9,140.9153
21,1,141.57
21,1.1,142.2248
21,1.2,142.8796
21,1.3,143.3957
21,1.4,143.8195
21,1.5,144.2433
21,1.6,144.6671
21,1.7,145.0909
21,1.8,145.5147
21,1.9,146.2169
21,2,146.9501
21,2.1,147.6834
21,2.2,148.4166
21,2.3,149.1498
21,2.4,149.883
21,2.5,150.6162
21,2.6,151.3494
21,2.7,152.0952
21,2.8,152.8537
21,2.9,154.5575
21,3,157.6795
21,3.1,160.8014
21,3.2,163.9233
21,3.3,167.1832
21,3.4,170.9954
21,3.5,172.7478
21,3.6,174.2713
21,3.7,175.7949
21,3.8,177.3185
21,3.9,178.842
21,4,180.3656
21,4.1,181.8892
21,4.2,183.4127
21,4.3,184.9363
21,4.4,186.4599
21,4.5,187.9835
21,4.6,189.507
21,4.7,191.0306
21,4.8,192.5542
21,4.9,194.0777
21,5,195.6013
22,0.5,41.0712
22,0.6,45.8675
22,0.7,50.6636
22,0.8,55.4599
22,0.9,60.2561
22,1,65.0523
22,1.1,69.6452
22,1.2,72.408
22,1.3,75.1708
22,1.4,77.9337
22,1.5,79.4606
22,1.6,80.0278
22,1.7,80.4249
22,1.8,80.822
22,1.9,81.2191
22,2,81.6161
22,2.1,82.0131
22,2.2,82.3944
22,2.3,82.7387
22,2.4,83.0552
22,2.5,83.3648
22,2.6,83.6744
22,2.7,83.9839
22,2.8,84.2935
22,2.9,84.6031
22,3,84.9127
22,3.1,85.2223
22,3.2,85.5318
22,3.3,85.8414
22,3.4,86.151
22,3.5,86.482
22,3.6,86.8153
22,3.7,87.184
22,3.8,87.6351
22,3.9,88.0862
22,4,88.5374
22,4.1,94.0376
22,4.2,98.452
22,4.3,100.6999
22,4.4,103.1472
22,4.5,105.5944
22,4.6,108.0416
22,4.7,110.4888
22,4.8,112.9361
22,4.9,115.1737
22,5,115.5259
23,0.5,103.443
23,0.6,104.8668
23,0.7,106.2906
23,0.8,107.7145
23,0.9,109.0869
23,1,110.254
23,1.1,110.6089
23,1.2,110.9638
23,1.3,111.3188
23,1.4,111.6737
23,1.5,112.0287
23,1.6,112.3836
23,1.7,112.7385
23,1.8,113.0935
23,1.9,113.4484
23,2,113.9095
23,2.1,114.3824
23,2.2,114.8553
23,2.3,115.3281
23,2.4,115.801
23,2.5,116.2739
23,2.6,116.7468
23,2.7,117.2197
23,2.8,117.6926
23,2.9,118.7317
23,3,118.6384
23,3.1,119.1113
23,3.2,119.5841
23,3.3,120.057
23,3.4,120.5299
26,0.5,43.1646
26,0.6,43.9579
26,0.7,44.7513
26,0.8,45.5446
26,0.9,46.3379
26,1,47.1312
26,1.1,47.9245
26,1.2,48.7179
26,1.3,49.3591
26,1.4,50.5827
26,1.5,52.4056
26,1.6,57.1073
26,1.7,62.1288
26,1.8,67.1504
26,1.9,72.1719
26,2,77.1935
26,2.1,82.215
26,2.2,87.2282
26,2.3,89.5254
26,2.4,90.0178
26,2.5,90.5102
26,2.6,91.0025
26,2.7,91.4949
26,2.8,91.9873
26,2.9,96.5554
26,3,109.3349
26,3.1,110.4235
26,3.2,111.512
26,3.3,112.6005
26,3.4,113.6891
26,3.5,114.7777
26,3.6,115.8662
26,3.7,116.9547
26,3.8,118.0433
26,3.9,119.1318
26,4,120.2203
26,4.1,122.509
26,4.2,125.9976
26,4.3,129.4862
26,4.4,132.9748
26,4.5,136.4724
26,4.6,140.0057
26,4.7,142.5648
26,4.8,142.8509
26,4.9,143.1369
26,5,143.423
27,0.5,59.2996
27,0.6,75.7584
27,0.7,92.2171
27,0.8,108.6759
27,0.9,126.1875
27,1,138.1194
27,1.1,150.7949
27,1.2,163.3697
27,1.3,174.8531
27,1.4,191.7273
27,1.5,212.7368
27,1.6,233.7463
27,1.7,254.7451
27,1.8,275.7009
27,1.9,296.6565
27,2,317.6123
27,2.1,338.5679
27,2.2,359.5239
27,2.3,380.4795
27,2.4,406.0215
27,2.5,432.0731
27,2.6,263.7204
27,2.7,268.1726
27,2.8,274.6003
27,2.9,281.0278
27,3,162.3987
27,3.1,167.1236
27,3.2,178.3131
27,3.3,189.5027
27,3.4,160.7013
27,3.5,171.5782
27,3.6,182.4551
27,3.7,193.3321
27,3.8,204.209
27,3.9,215.0859
27,4,225.9628
