agency_cd,site_no,date,q.arklasco,tmax.arklasco,tmin.arklasco,ec.arklasco,,,,INDEP,SHIFT,DEP
USGS,7124000,4/28/1999,67,20.2,10.7,3390,,,,4.07,-0.09,4.6
USGS,7124000,4/29/1999,94,12.7,10.2,3120,,,,4.08,-0.09,4.8
USGS,7124000,4/30/1999,1150,10.4,9.6,1870,,,,4.09,-0.09,5
USGS,7124000,5/1/1999,6970,9.9,9.3,975,,,,4.1,-0.09,5.2
USGS,7124000,5/2/1999,21700,12.6,8.4,843,,,,4.11,-0.09,5.4
USGS,7124000,5/3/1999,22600,13.6,10.9,1020,,,,4.12,-0.09,5.6
USGS,7124000,5/4/1999,11800,14,11.4,1150,,,,4.13,-0.09,5.8
USGS,7124000,5/5/1999,6410,13.4,11.1,1270,,,,4.14,-0.09,6
USGS,7124000,5/6/1999,4750,14.5,10.2,1320,,,,4.15,-0.09,6.3
USGS,7124000,5/7/1999,3810,16.4,12.1,1360,,,,4.16,-0.09,6.5
USGS,7124000,5/8/1999,2920,18.3,14.7,1400,,,,4.17,-0.09,6.7
USGS,7124000,5/9/1999,2330,19.4,16.9,NA,,,,4.18,-0.09,7
USGS,7124000,5/10/1999,2350,19.8,17.3,NA,,,,4.19,-0.09,7.2
USGS,7124000,5/11/1999,2480,17.7,15.2,NA,,,,4.2,-0.09,7.5
USGS,7124000,5/12/1999,2710,16,13.1,1200,,,,4.21,-0.09,7.7
USGS,7124000,5/13/1999,2520,17.7,14.2,1240,,,,4.22,-0.09,8
USGS,7124000,5/14/1999,2420,19,15.6,1270,,,,4.23,-0.09,8.3
USGS,7124000,5/15/1999,2120,19.7,16.1,1340,,,,4.24,-0.09,8.6
USGS,7124000,5/16/1999,1970,19.7,16.4,1370,,,,4.25,-0.09,8.9
USGS,7124000,5/17/1999,2160,18.3,15.6,1330,,,,4.26,-0.09,9.1
USGS,7124000,5/18/1999,2020,19.4,15.2,1360,,,,4.27,-0.09,9.5
USGS,7124000,5/19/1999,1730,19.4,16.7,1420,,,,4.28,-0.09,9.8
USGS,7124000,5/20/1999,1250,19,15.7,1590,,,,4.29,-0.09,10
USGS,7124000,5/21/1999,854,22,16.1,1890,,,,4.3,-0.09,10
USGS,7124000,5/22/1999,524,23.3,17.4,2140,,,,4.31,-0.09,11
USGS,7124000,5/23/1999,446,22.9,17.4,2080,,,,4.32,-0.09,11
USGS,7124000,5/24/1999,417,23.9,17.5,2140,,,,4.33,-0.09,11
USGS,7124000,5/25/1999,512,19,17,1970,,,,4.34,-0.09,12
USGS,7124000,5/26/1999,1240,19,15.7,1520,,,,4.35,-0.09,12
USGS,7124000,5/27/1999,2600,18.6,16.1,1130,,,,4.36,-0.09,13
USGS,7124000,5/28/1999,2690,20.4,17.1,1110,,,,4.37,-0.09,13
USGS,7124000,5/29/1999,2910,21,18.4,1040,,,,4.38,-0.09,13
USGS,7124000,5/30/1999,3190,20.8,18.1,1000,,,,4.39,-0.09,14
USGS,7124000,5/31/1999,2920,20.3,17.9,1030,,,,4.4,-0.09,14
USGS,7124000,6/1/1999,2640,20.1,16.6,1080,,,,4.41,-0.09,15
USGS,7124000,6/2/1999,2060,21.6,17.4,1180,,,,4.42,-0.09,15
USGS,7124000,6/3/1999,1940,22,18.1,1170,,,,4.43,-0.09,15
USGS,7124000,6/4/1999,1780,21.9,18.3,1200,,,,4.44,-0.09,16
USGS,7124000,6/5/1999,1310,21.1,16.9,1320,,,,4.45,-0.09,16
USGS,7124000,6/6/1999,850,22,15.8,1520,,,,4.46,-0.09,17
USGS,7124000,6/7/1999,696,23.6,17.2,1600,,,,4.47,-0.09,17
USGS,7124000,6/8/1999,584,24.1,18.6,1620,,,,4.48,-0.09,18
USGS,7124000,6/9/1999,343,24.7,17.9,1860,,,,4.49,-0.09,18
USGS,7124000,6/10/1999,210,25.2,18.3,2310,,,,4.5,-0.09,19
USGS,7124000,6/11/1999,140,22.9,16.7,NA,,,,4.51,-0.09,19
USGS,7124000,6/12/1999,612,22.4,16.1,2090,,,,4.52,-0.09,20
USGS,7124000,6/13/1999,2490,19,17.7,1060,,,,4.53,-0.09,20
USGS,7124000,6/14/1999,2670,21.1,17.6,1030,,,,4.54,-0.09,21
USGS,7124000,6/15/1999,2310,20.3,18.1,1100,,,,4.55,-0.09,21
USGS,7124000,6/16/1999,2360,18.6,16.9,1130,,,,4.56,-0.09,22
USGS,7124000,6/17/1999,2140,20.1,15.8,1130,,,,4.57,-0.09,23
USGS,7124000,6/18/1999,2220,21.9,18,1110,,,,4.58,-0.09,23
USGS,7124000,6/19/1999,2570,23,19.7,1040,,,,4.59,-0.09,24
USGS,7124000,6/20/1999,2410,23.5,20.8,1050,,,,4.6,-0.09,24
USGS,7124000,6/21/1999,1940,23.9,20.3,1090,,,,4.61,-0.09,25
USGS,7124000,6/22/1999,1830,24.5,21.1,1080,,,,4.62,-0.09,26
USGS,7124000,6/23/1999,2040,24.4,21.2,1080,,,,4.63,-0.09,26
USGS,7124000,6/24/1999,1860,25.3,21.8,1080,,,,4.64,-0.09,27
USGS,7124000,6/25/1999,1720,25.5,21.2,1050,,,,4.65,-0.09,28
USGS,7124000,6/26/1999,1500,25.8,21.5,1060,,,,4.66,-0.09,28
USGS,7124000,6/27/1999,1990,25,21.7,970,,,,4.67,-0.09,29
USGS,7124000,6/28/1999,2190,24.5,21.9,936,,,,4.68,-0.09,30
USGS,7124000,6/29/1999,1830,24.9,20.7,1020,,,,4.69,-0.09,31
USGS,7124000,6/30/1999,1340,25.5,22.3,1160,,,,4.7,-0.09,31
USGS,7124000,7/1/1999,1010,26,21.9,1250,,,,4.71,-0.09,32
USGS,7124000,7/2/1999,583,26,22,1590,,,,4.72,-0.09,33
USGS,7124000,7/3/1999,467,26.1,20.3,1870,,,,4.73,-0.09,34
USGS,7124000,7/4/1999,500,26.5,21,1710,,,,4.74,-0.09,34
USGS,7124000,7/5/1999,441,27.1,21.4,1760,,,,4.75,-0.09,35
USGS,7124000,7/6/1999,258,26.6,21.4,2430,,,,4.76,-0.09,36
USGS,7124000,7/7/1999,178,29,19.6,3120,,,,4.77,-0.09,37
USGS,7124000,7/8/1999,173,30.2,19.1,3370,,,,4.78,-0.09,38
USGS,7124000,7/9/1999,310,22.1,19.9,2440,,,,4.79,-0.09,39
USGS,7124000,7/10/1999,249,26.4,17.7,2750,,,,4.8,-0.09,39
USGS,7124000,7/11/1999,171,26.9,17.3,3210,,,,4.81,-0.09,40
USGS,7124000,7/12/1999,151,29.1,18.3,3480,,,,4.82,-0.09,41
USGS,7124000,7/13/1999,137,NA,NA,NA,,,,4.83,-0.09,42
USGS,7124000,7/14/1999,127,30.3,19.6,3560,,,,4.84,-0.09,43
USGS,7124000,7/15/1999,120,30.7,19.6,3580,,,,4.85,-0.09,44
USGS,7124000,7/16/1999,121,26.9,19.7,3420,,,,4.86,-0.09,45
USGS,7124000,7/17/1999,854,26.8,20.3,2610,,,,4.87,-0.09,46
USGS,7124000,7/18/1999,3190,25.7,22,975,,,,4.88,-0.09,47
USGS,7124000,7/19/1999,1780,27,23.4,NA,,,,4.89,-0.09,48
USGS,7124000,7/20/1999,966,27.5,23.3,NA,,,,4.9,-0.09,49
USGS,7124000,7/21/1999,568,28.4,23.1,1660,,,,4.91,-0.09,50
USGS,7124000,7/22/1999,478,29.3,23.1,1810,,,,4.92,-0.09,51
USGS,7124000,7/23/1999,443,30,24,1800,,,,4.93,-0.09,52
USGS,7124000,7/24/1999,397,29.7,23.9,1830,,,,4.94,-0.09,53
USGS,7124000,7/25/1999,234,30.4,21.5,2550,,,,4.95,-0.09,54
USGS,7124000,7/26/1999,171,30.5,21.5,3090,,,,4.96,-0.09,56
USGS,7124000,7/27/1999,143,29.9,21.4,3720,,,,4.97,-0.09,57
USGS,7124000,7/28/1999,128,31.5,20.6,3680,,,,4.98,-0.09,58
USGS,7124000,7/29/1999,119,31.7,20,3710,,,,4.99,-0.09,59
USGS,7124000,7/30/1999,110,32.4,20,3730,,,,5,-0.09,60
USGS,7124000,7/31/1999,115,28.5,19.7,3530,,,,5.01,-0.09,62
USGS,7124000,8/1/1999,135,27.5,20.3,3040,,,,5.02,-0.09,63
USGS,7124000,8/2/1999,928,21.3,19.1,1890,,,,5.03,-0.09,64
USGS,7124000,8/3/1999,2250,22.9,19.9,1050,,,,5.04,-0.09,65
USGS,7124000,8/4/1999,998,23.8,21.6,1280,,,,5.05,-0.09,67
USGS,7124000,8/5/1999,1660,24.7,21.9,1200,,,,5.06,-0.09,68
USGS,7124000,8/6/1999,3180,25.3,22.5,1030,,,,5.07,-0.09,69
USGS,7124000,8/7/1999,4220,24.9,22.7,1020,,,,5.08,-0.09,71
USGS,7124000,8/8/1999,3660,25.5,23.3,1130,,,,5.09,-0.09,72
USGS,7124000,8/9/1999,3680,25.2,22.7,1120,,,,5.1,-0.09,73
USGS,7124000,8/10/1999,3880,25.5,23.2,1080,,,,5.11,-0.09,75
USGS,7124000,8/11/1999,4170,NA,NA,1020,,,,5.12,-0.09,76
USGS,7124000,8/12/1999,3330,25.4,22.5,NA,,,,5.13,-0.09,78
USGS,7124000,8/13/1999,1970,24.7,22.3,799,,,,5.14,-0.09,79
USGS,7124000,8/14/1999,1170,24.5,22.1,962,,,,5.15,-0.09,81
USGS,7124000,8/15/1999,774,24.8,22.6,1120,,,,5.16,-0.09,82
USGS,7124000,8/16/1999,628,24.9,22.6,1330,,,,5.17,-0.09,84
USGS,7124000,8/17/1999,484,25.3,23.5,1560,,,,5.18,-0.09,85
USGS,7124000,8/18/1999,348,25.2,23.1,1870,,,,5.19,-0.09,87
USGS,7124000,8/19/1999,296,25.3,22.5,2250,,,,5.2,-0.09,89
USGS,7124000,8/20/1999,312,25.5,22.4,2290,,,,5.21,-0.09,90
USGS,7124000,8/21/1999,365,NA,NA,NA,,,,5.22,-0.09,92
USGS,7124000,8/22/1999,546,NA,NA,NA,,,,5.23,-0.09,93
USGS,7124000,8/23/1999,386,NA,NA,NA,,,,5.24,-0.09,95
USGS,7124000,8/24/1999,290,NA,NA,NA,,,,5.25,-0.09,97
USGS,7124000,8/25/1999,253,NA,NA,NA,,,,5.26,-0.09,99
USGS,7124000,8/26/1999,264,28.4,20.4,2220,,,,5.27,-0.09,100
USGS,7124000,8/27/1999,285,28.3,21.1,2120,,,,5.28,-0.09,102
USGS,7124000,8/28/1999,284,NA,NA,NA,,,,5.29,-0.09,104
USGS,7124000,8/29/1999,282,NA,NA,NA,,,,5.3,-0.09,106
USGS,7124000,8/30/1999,309,NA,NA,NA,,,,5.31,-0.09,108
USGS,7124000,8/31/1999,295,NA,NA,NA,,,,5.32,-0.09,110
USGS,7124000,9/1/1999,219,NA,NA,NA,,,,5.33,-0.09,111
USGS,7124000,9/2/1999,189,NA,NA,NA,,,,5.34,-0.09,113
USGS,7124000,9/3/1999,161,NA,NA,NA,,,,5.35,-0.09,115
USGS,7124000,9/4/1999,159,NA,NA,NA,,,,5.36,-0.09,117
USGS,7124000,9/5/1999,163,NA,NA,NA,,,,5.37,-0.09,119
USGS,7124000,9/6/1999,151,NA,NA,NA,,,,5.38,-0.09,121
USGS,7124000,9/7/1999,144,NA,NA,NA,,,,5.39,-0.09,123
USGS,7124000,9/8/1999,134,NA,NA,NA,,,,5.4,-0.09,125
USGS,7124000,9/9/1999,130,26.1,14.3,3620,,,,5.41,-0.09,128
USGS,7124000,9/10/1999,132,26.8,17,3550,,,,5.42,-0.09,130
USGS,7124000,9/11/1999,127,26.4,15.9,3780,,,,5.43,-0.09,132
USGS,7124000,9/12/1999,122,19.3,14.6,3880,,,,5.44,-0.09,134
USGS,7124000,9/13/1999,116,23.9,15,4120,,,,5.45,-0.09,136
USGS,7124000,9/14/1999,116,22.6,13.9,4170,,,,5.46,-0.09,138
USGS,7124000,9/15/1999,114,16.5,15,4220,,,,5.47,-0.09,141
USGS,7124000,9/16/1999,122,21.9,14.8,4150,,,,5.48,-0.09,143
USGS,7124000,9/17/1999,117,21.1,15.5,4250,,,,5.49,-0.09,145
USGS,7124000,9/18/1999,112,25.2,15,4470,,,,5.5,-0.09,148
USGS,7124000,9/19/1999,109,NA,NA,NA,,,,5.51,-0.09,150
USGS,7124000,9/20/1999,113,NA,NA,NA,,,,5.52,-0.09,152
USGS,7124000,9/21/1999,114,NA,NA,NA,,,,5.53,-0.09,155
USGS,7124000,9/22/1999,116,NA,NA,NA,,,,5.54,-0.09,157
USGS,7124000,9/23/1999,115,NA,NA,NA,,,,5.55,-0.09,160
USGS,7124000,9/24/1999,112,NA,NA,NA,,,,5.56,-0.09,162
USGS,7124000,9/25/1999,110,NA,NA,NA,,,,5.57,-0.09,165
USGS,7124000,9/26/1999,113,NA,NA,NA,,,,5.58,-0.09,167
USGS,7124000,9/27/1999,116,NA,NA,NA,,,,5.59,-0.09,170
USGS,7124000,9/28/1999,122,NA,NA,NA,,,,5.6,-0.09,173
USGS,7124000,9/29/1999,123,15.4,3.2,2910,,,,5.61,-0.09,175
USGS,7124000,9/30/1999,127,18.8,9.8,2840,,,,5.62,-0.09,178
USGS,7124000,10/1/1999,132,18.3,9.8,2850,,,,5.63,-0.09,181
USGS,7124000,10/2/1999,135,16.2,11.1,2780,,,,5.64,-0.09,183
USGS,7124000,10/3/1999,138,13.9,10.3,2740,,,,5.65,-0.09,186
USGS,7124000,10/4/1999,140,17.5,9.5,2800,,,,5.66,-0.09,189
USGS,7124000,10/5/1999,148,18.4,10.9,2800,,,,5.67,-0.09,192
USGS,7124000,10/6/1999,145,18.2,10.5,2940,,,,5.68,-0.09,195
USGS,7124000,10/7/1999,145,16.3,9.5,2930,,,,5.69,-0.09,198
USGS,7124000,10/8/1999,138,18.2,11.7,3060,,,,5.7,-0.09,201
USGS,7124000,10/9/1999,126,19.9,10.4,3220,,,,5.71,-0.09,204
USGS,7124000,10/10/1999,124,19.8,11.2,3260,,,,5.72,-0.09,207
USGS,7124000,10/11/1999,122,21.1,11.6,3280,,,,5.73,-0.09,210
USGS,7124000,10/12/1999,121,21.3,11.5,3210,,,,5.74,-0.09,213
USGS,7124000,10/13/1999,112,19.8,11.6,3360,,,,5.75,-0.09,216
USGS,7124000,10/14/1999,110,20.4,11,3420,,,,5.76,-0.09,219
USGS,7124000,10/15/1999,112,17.2,10.7,3450,,,,5.77,-0.09,221
USGS,7124000,10/16/1999,123,13,8.4,3260,,,,5.78,-0.09,223
USGS,7124000,10/17/1999,132,13.7,6.7,3040,,,,5.79,-0.09,225
USGS,7124000,10/18/1999,128,12.7,6.3,3190,,,,5.8,-0.09,228
USGS,7124000,10/19/1999,132,14.8,8.1,3140,,,,5.81,-0.09,230
USGS,7124000,10/20/1999,133,15.6,6.8,3090,,,,5.82,-0.09,232
USGS,7124000,10/21/1999,124,16.6,7.5,3220,,,,5.83,-0.09,234
USGS,7124000,10/22/1999,121,16.5,7.7,3210,,,,5.84,-0.09,236
USGS,7124000,10/23/1999,123,16.2,8.1,3150,,,,5.85,-0.09,239
USGS,7124000,10/24/1999,122,16.2,7.5,3090,,,,5.86,-0.09,241
USGS,7124000,10/25/1999,120,16.2,7.7,3120,,,,5.87,-0.09,243
USGS,7124000,10/26/1999,122,15.9,7.3,3050,,,,5.88,-0.09,245
USGS,7124000,10/27/1999,123,13.2,7.9,3050,,,,5.89,-0.09,248
USGS,7124000,10/28/1999,121,14.1,7,3080,,,,5.9,-0.09,250
USGS,7124000,10/29/1999,115,11.3,7.5,3190,,,,5.91,-0.09,253
USGS,7124000,10/30/1999,113,13,5.2,3220,,,,5.92,-0.09,256
USGS,7124000,10/31/1999,122,13.2,5.2,3110,,,,5.93,-0.09,259
USGS,7124000,11/1/1999,140,11.2,6,2820,,,,5.94,-0.09,261
USGS,7124000,11/2/1999,127,11.5,4.3,2970,,,,5.95,-0.09,264
USGS,7124000,11/3/1999,123,12.7,4.3,3010,,,,5.96,-0.09,267
USGS,7124000,11/4/1999,142,12,4.8,2800,,,,5.97,-0.09,270
USGS,7124000,11/5/1999,166,12,5.9,2490,,,,5.98,-0.09,273
USGS,7124000,11/6/1999,131,12.6,5,2900,,,,5.99,-0.09,276
USGS,7124000,11/7/1999,126,12.9,5.1,3000,,,,6,-0.09,279
USGS,7124000,11/8/1999,124,13.7,6.4,3040,,,,6.01,-0.09,282
USGS,7124000,11/9/1999,123,13.4,7.3,3040,,,,6.02,-0.09,285
USGS,7124000,11/10/1999,119,13.2,5.9,3080,,,,6.03,-0.09,288
USGS,7124000,11/11/1999,116,13.2,5.9,3120,,,,6.04,-0.09,291
USGS,7124000,11/12/1999,115,12.8,5.7,3120,,,,6.05,-0.09,295
USGS,7124000,11/13/1999,109,13,5.4,3210,,,,6.06,-0.09,298
USGS,7124000,11/14/1999,100,13,5.4,3260,,,,6.07,-0.09,301
USGS,7124000,11/15/1999,98,12.7,5.3,3350,,,,6.08,-0.09,304
USGS,7124000,11/16/1999,96,12.6,5,3350,,,,6.09,-0.09,307
USGS,7124000,11/17/1999,82,13,4.9,3650,,,,6.1,-0.09,310
USGS,7124000,11/18/1999,74,13.5,7.1,3860,,,,6.11,-0.09,314
USGS,7124000,11/19/1999,68,11.2,4.1,3970,,,,6.12,-0.09,317
USGS,7124000,11/20/1999,66,11.5,4,4010,,,,6.13,-0.09,320
USGS,7124000,11/21/1999,65,10.9,4.2,4020,,,,6.14,-0.09,324
USGS,7124000,11/22/1999,65,7.8,3.9,4070,,,,6.15,-0.09,327
USGS,7124000,11/23/1999,82,8,3,3720,,,,6.16,-0.09,330
USGS,7124000,11/24/1999,103,8.7,3.9,3280,,,,6.17,-0.09,334
USGS,7124000,11/25/1999,101,6.8,1.7,3310,,,,6.18,-0.09,337
USGS,7124000,11/26/1999,100,9.7,3.1,3340,,,,6.19,-0.09,341
USGS,7124000,11/27/1999,99,10.8,5.1,3380,,,,6.2,-0.09,344
USGS,7124000,11/28/1999,96,9.3,5.9,3420,,,,6.21,-0.09,348
USGS,7124000,11/29/1999,95,7.6,5.6,3370,,,,6.22,-0.09,351
USGS,7124000,11/30/1999,96,10.8,5.7,3370,,,,6.23,-0.09,355
USGS,7124000,12/1/1999,132,8,5.9,2880,,,,6.24,-0.09,358
USGS,7124000,12/2/1999,113,9,4.5,3090,,,,6.25,-0.09,362
USGS,7124000,12/3/1999,109,6.8,3.5,3210,,,,6.26,-0.08,369
USGS,7124000,12/4/1999,108,5,2.2,3210,,,,6.27,-0.08,373
USGS,7124000,12/5/1999,105,4.5,0.2,3210,,,,6.28,-0.08,377
USGS,7124000,12/6/1999,104,4.5,0.5,3220,,,,6.29,-0.08,380
USGS,7124000,12/7/1999,105,5,0.2,3240,,,,6.3,-0.08,384
USGS,7124000,12/8/1999,103,4.2,1.2,3260,,,,6.31,-0.08,388
USGS,7124000,12/9/1999,101,5.3,0.3,3280,,,,6.32,-0.08,392
USGS,7124000,12/10/1999,100,5.9,1.1,3310,,,,6.33,-0.08,395
USGS,7124000,12/11/1999,99,6.2,2.3,3360,,,,6.34,-0.08,399
USGS,7124000,12/12/1999,98,5.7,0.2,3340,,,,6.35,-0.08,403
USGS,7124000,12/13/1999,100,3.5,0.2,3340,,,,6.36,-0.08,407
USGS,7124000,12/14/1999,99,2.8,0.3,3370,,,,6.37,-0.08,411
USGS,7124000,12/15/1999,94,3.9,NA,3390,,,,6.38,-0.08,414
USGS,7124000,12/16/1999,99,5.7,0.3,3310,,,,6.39,-0.08,418
USGS,7124000,12/17/1999,107,6.4,2.1,3300,,,,6.4,-0.08,422
USGS,7124000,12/18/1999,106,6.1,0.8,3160,,,,6.41,-0.08,425
USGS,7124000,12/19/1999,110,5.8,2.3,3190,,,,6.42,-0.08,429
USGS,7124000,12/20/1999,105,4,0.4,3110,,,,6.43,-0.08,433
USGS,7124000,12/21/1999,102,3.5,0.4,3130,,,,6.44,-0.08,436
USGS,7124000,12/22/1999,103,3.8,0.5,3090,,,,6.45,-0.08,440
USGS,7124000,12/23/1999,101,5.6,0.5,3090,,,,6.46,-0.07,448
USGS,7124000,12/24/1999,100,6.9,0.7,3050,,,,6.47,-0.07,452
USGS,7124000,12/25/1999,107,6.8,1.1,2940,,,,6.48,-0.07,456
USGS,7124000,12/26/1999,110,7,1.6,2800,,,,6.49,-0.07,460
USGS,7124000,12/27/1999,104,7.3,1.1,2950,,,,6.5,-0.07,463
USGS,7124000,12/28/1999,103,8.3,1.8,3090,,,,6.51,-0.07,467
USGS,7124000,12/29/1999,103,6.9,1.9,3160,,,,6.52,-0.07,471
USGS,7124000,12/30/1999,102,7.1,0.9,3210,,,,6.53,-0.07,475
USGS,7124000,12/31/1999,102,6.3,0.7,3250,,,,6.54,-0.07,479
USGS,7124000,1/1/2000,105,8.5,3.1,3300,,,,6.55,-0.07,483
USGS,7124000,1/2/2000,103,7.6,2.8,3270,,,,6.56,-0.07,487
USGS,7124000,1/3/2000,111,4.4,0.5,3120,,,,6.57,-0.07,491
USGS,7124000,1/4/2000,103,4.2,NA,3050,,,,6.58,-0.07,496
USGS,7124000,1/5/2000,104,5.3,0.5,3120,,,,6.59,-0.07,500
USGS,7124000,1/6/2000,101,7.1,2.6,3200,,,,6.6,-0.07,504
USGS,7124000,1/7/2000,97,5.4,0.7,3140,,,,6.61,-0.07,508
USGS,7124000,1/8/2000,98,6.2,0.7,3100,,,,6.62,-0.07,512
USGS,7124000,1/9/2000,105,6.1,1.2,3040,,,,6.63,-0.07,516
USGS,7124000,1/10/2000,102,7.1,1,3010,,,,6.64,-0.07,521
USGS,7124000,1/11/2000,98,6.6,0.7,3190,,,,6.65,-0.07,525
USGS,7124000,1/12/2000,98,8.7,2.1,3210,,,,6.66,-0.07,529
USGS,7124000,1/13/2000,100,7.2,1.8,3160,,,,6.67,-0.06,538
USGS,7124000,1/14/2000,100,4.9,1.2,3010,,,,6.68,-0.06,542
USGS,7124000,1/15/2000,97,6.7,1.5,3120,,,,6.69,-0.06,546
USGS,7124000,1/16/2000,98,6.2,1.9,3160,,,,6.7,-0.06,551
USGS,7124000,1/17/2000,122,6.3,1.7,2860,,,,6.71,-0.06,555
USGS,7124000,1/18/2000,112,9,3.2,2820,,,,6.72,-0.06,560
USGS,7124000,1/19/2000,104,9.7,3.7,3140,,,,6.73,-0.06,564
USGS,7124000,1/20/2000,101,8.1,2.7,3190,,,,6.74,-0.06,568
USGS,7124000,1/21/2000,111,6.6,2.2,3030,,,,6.75,-0.06,573
USGS,7124000,1/22/2000,112,6.9,2,2940,,,,6.76,-0.06,577
USGS,7124000,1/23/2000,105,7.6,1.8,3000,,,,6.77,-0.06,582
USGS,7124000,1/24/2000,102,7.3,0.9,3020,,,,6.78,-0.06,587
