# ---------------------------------- WARNING ----------------------------------------,,,,,,,,,
# The data you have obtained from this automated U.S. Geological Survey database,,,,,,,,,
# have not received Director's approval and as such are provisional and subject to,,,,,,,,,
# revision.  The data are released on the condition that neither the USGS nor the,,,,,,,,,
# United States Government may be held liable for any damages resulting from its use.,,,,,,,,,
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional,,,,,,,,,
#,,,,,,,,,
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info,,,,,,,,,
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info,,,,,,,,,
#,,,,,,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,,,,,,
# retrieved: 2012-01-11 23:02:38 EST       (sdww01),,,,,,,,,
#,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,
"#    USGS 07134990 WILD HORSE CREEK ABOVE HOLLY, CO",,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,
#,,,,,,,,,
# Data provided for site 07134990,,,,,,,,,
#    DD parameter statistic   Description,,,,,,,,,
"#    02   00060     00003     Discharge, cubic feet per second (Mean)",,,,,,,,,
#,,,,,,,,,
# Data-value qualification codes included in this output: ,,,,,,,,,
#     A  Approved for publication -- Processing and review completed.  ,,,,,,,,,
#     e  Value has been estimated.  ,,,,,,,,,
# ,,,,,,,,,
agency_cd,site_no,datetime,02_00060_00003,02_00060_00003_cd,,,,,
USGS,7134990,5/27/1999,50,A,,,,,
USGS,7134990,5/28/1999,46,A,,,,,
USGS,7134990,5/29/1999,23,A,,,,,
USGS,7134990,5/30/1999,26,A,,,,,
USGS,7134990,5/31/1999,82,A,,,,,
USGS,7134990,6/1/1999,38,A,,,,,
USGS,7134990,6/2/1999,45,A,,,,,
USGS,7134990,6/3/1999,35,A,,,,,
USGS,7134990,6/4/1999,27,A,,,,,
USGS,7134990,6/5/1999,23,A,,,,,
USGS,7134990,6/6/1999,20,A,,,,,
USGS,7134990,6/7/1999,20,A,,,,,
USGS,7134990,6/8/1999,20,A,,,,,
USGS,7134990,6/9/1999,17,A,,,,,
USGS,7134990,6/10/1999,17,A,,,,,
USGS,7134990,6/11/1999,17,A,,,,,
USGS,7134990,6/12/1999,40,A,,,,,
USGS,7134990,6/13/1999,37,A,,,,,
USGS,7134990,6/14/1999,30,A,,,,,
USGS,7134990,6/15/1999,18,A,,,,,
USGS,7134990,6/16/1999,17,A,,,,,
USGS,7134990,6/17/1999,19,A,,,,,
USGS,7134990,6/18/1999,15,A,,,,,
USGS,7134990,6/19/1999,15,A,,,,,
USGS,7134990,6/20/1999,14,A,,,,,
USGS,7134990,6/21/1999,14,A,,,,,
USGS,7134990,6/22/1999,13,A,,,,,
USGS,7134990,6/23/1999,14,A,,,,,
USGS,7134990,6/24/1999,33,A,,,,,
USGS,7134990,6/25/1999,31,A,,,,,
USGS,7134990,6/26/1999,36,A,,,,,
USGS,7134990,6/27/1999,39,A,,,,,
USGS,7134990,6/28/1999,37,A,,,,,
USGS,7134990,6/29/1999,38,A,,,,,
USGS,7134990,6/30/1999,62,A,,,,,
USGS,7134990,7/1/1999,97,A,,,,,
USGS,7134990,7/2/1999,163,A,,,,,
USGS,7134990,7/3/1999,81,A,,,,,
USGS,7134990,7/4/1999,64,A,,,,,
USGS,7134990,7/5/1999,105,A,,,,,
USGS,7134990,7/6/1999,77,A,,,,,
USGS,7134990,7/7/1999,78,A,,,,,
USGS,7134990,7/8/1999,93,A,,,,,
USGS,7134990,7/9/1999,34,A,,,,,
USGS,7134990,7/10/1999,36,A,,,,,
USGS,7134990,7/11/1999,20,A,,,,,
USGS,7134990,7/12/1999,20,A,,,,,
USGS,7134990,7/13/1999,19,A,,,,,
USGS,7134990,7/14/1999,19,A,,,,,
USGS,7134990,7/15/1999,20,A,,,,,
USGS,7134990,7/16/1999,22,A,,,,,
USGS,7134990,7/17/1999,30,A,,,,,
USGS,7134990,7/18/1999,21,A,,,,,
USGS,7134990,7/19/1999,16,A,,,,,
USGS,7134990,7/20/1999,15,A,,,,,
USGS,7134990,7/21/1999,16,A,,,,,
USGS,7134990,7/22/1999,15,A,,,,,
USGS,7134990,7/23/1999,18,A,,,,,
USGS,7134990,7/24/1999,17,A,,,,,
USGS,7134990,7/25/1999,13,A,,,,,
USGS,7134990,7/26/1999,14,A,,,,,
USGS,7134990,7/27/1999,13,A,,,,,
USGS,7134990,7/28/1999,16,A,,,,,
USGS,7134990,7/29/1999,17,A,,,,,
USGS,7134990,7/30/1999,18,A,,,,,
USGS,7134990,7/31/1999,22,A,,,,,
USGS,7134990,8/1/1999,122,A,,,,,
USGS,7134990,8/2/1999,126,A,,,,,
USGS,7134990,8/3/1999,86,A,,,,,
USGS,7134990,8/4/1999,69,A,,,,,
USGS,7134990,8/5/1999,106,A,,,,,
USGS,7134990,8/6/1999,84,A,,,,,
USGS,7134990,8/7/1999,147,A,,,,,
USGS,7134990,8/8/1999,82,A,,,,,
USGS,7134990,8/9/1999,36,A,,,,,
USGS,7134990,8/10/1999,28,A,,,,,
USGS,7134990,8/11/1999,25,A,,,,,
USGS,7134990,8/12/1999,24,A,,,,,
USGS,7134990,8/13/1999,26,A,,,,,
USGS,7134990,8/14/1999,28,A,,,,,
USGS,7134990,8/15/1999,25,A,,,,,
USGS,7134990,8/16/1999,24,A,,,,,
USGS,7134990,8/17/1999,21,A,,,,,
USGS,7134990,8/18/1999,20,A,,,,,
USGS,7134990,8/19/1999,19,A,,,,,
USGS,7134990,8/20/1999,18,A,,,,,
USGS,7134990,8/21/1999,20,A,,,,,
USGS,7134990,8/22/1999,21,A,,,,,
USGS,7134990,8/23/1999,18,A,,,,,
USGS,7134990,8/24/1999,17,A,,,,,
USGS,7134990,8/25/1999,16,A,,,,,
USGS,7134990,8/26/1999,15,A,,,,,
USGS,7134990,8/27/1999,17,A,,,,,
USGS,7134990,8/28/1999,18,A,,,,,
USGS,7134990,8/29/1999,19,A,,,,,
USGS,7134990,8/30/1999,25,A,,,,,
USGS,7134990,8/31/1999,20,A,,,,,
USGS,7134990,9/1/1999,15,A,,,,,
USGS,7134990,9/2/1999,14,A,,,,,
USGS,7134990,9/3/1999,18,A,,,,,
USGS,7134990,9/4/1999,24,A,,,,,
USGS,7134990,9/5/1999,48,A,,,,,
USGS,7134990,9/6/1999,54,A,,,,,
USGS,7134990,9/7/1999,62,A,,,,,
USGS,7134990,9/8/1999,76,A,,,,,
USGS,7134990,9/9/1999,87,A,,,,,
USGS,7134990,9/10/1999,70,A,,,,,
USGS,7134990,9/11/1999,56,A,,,,,
USGS,7134990,9/12/1999,52,A,,,,,
USGS,7134990,9/13/1999,49,A,,,,,
USGS,7134990,9/14/1999,59,A,,,,,
USGS,7134990,9/15/1999,94,A,,,,,
USGS,7134990,9/16/1999,109,A,,,,,
USGS,7134990,9/17/1999,116,A,,,,,
USGS,7134990,9/18/1999,108,A,,,,,
USGS,7134990,9/19/1999,54,A,,,,,
USGS,7134990,9/20/1999,54,A,,,,,
USGS,7134990,9/21/1999,106,A,,,,,
USGS,7134990,9/22/1999,122,A,,,,,
USGS,7134990,9/23/1999,120,A,,,,,
USGS,7134990,9/24/1999,114,A,,,,,
USGS,7134990,9/25/1999,65,A,,,,,
USGS,7134990,9/26/1999,55,A,,,,,
USGS,7134990,9/27/1999,50,A,,,,,
USGS,7134990,9/28/1999,60,A,,,,,
USGS,7134990,9/29/1999,53,A,,,,,
USGS,7134990,9/30/1999,60,A,,,,,
USGS,7134990,10/1/1999,41,A,,,,,
USGS,7134990,10/2/1999,39,A,,,,,
USGS,7134990,10/3/1999,40,A,,,,,
USGS,7134990,10/4/1999,39,A,,,,,
USGS,7134990,10/5/1999,41,A,,,,,
USGS,7134990,10/6/1999,54,A,,,,,
USGS,7134990,10/7/1999,57,A,,,,,
USGS,7134990,10/8/1999,78,A,,,,,
USGS,7134990,10/9/1999,65,A,,,,,
USGS,7134990,10/10/1999,49,A,,,,,
USGS,7134990,10/11/1999,53,A,,,,,
USGS,7134990,10/12/1999,51,A,,,,,
USGS,7134990,10/13/1999,32,A,,,,,
USGS,7134990,10/14/1999,30,A,,,,,
USGS,7134990,10/15/1999,30,A,,,,,
USGS,7134990,10/16/1999,30,A,,,,,
USGS,7134990,10/17/1999,31,A,,,,,
USGS,7134990,10/18/1999,42,A,,,,,
USGS,7134990,10/19/1999,58,A,,,,,
USGS,7134990,10/20/1999,58,A,,,,,
USGS,7134990,10/21/1999,54,A,,,,,
USGS,7134990,10/22/1999,57,A,,,,,
USGS,7134990,10/23/1999,55,A,,,,,
USGS,7134990,10/24/1999,55,A,,,,,
USGS,7134990,10/25/1999,54,A,,,,,
USGS,7134990,10/26/1999,44,A,,,,,
USGS,7134990,10/27/1999,46,A,,,,,
USGS,7134990,10/28/1999,46,A,,,,,
USGS,7134990,10/29/1999,49,A,,,,,
USGS,7134990,10/30/1999,51,A,,,,,
USGS,7134990,10/31/1999,52,A,,,,,
USGS,7134990,11/1/1999,55,A,,,,,
USGS,7134990,11/2/1999,52,A,,,,,
USGS,7134990,11/3/1999,52,A,,,,,
USGS,7134990,11/4/1999,53,A,,,,,
USGS,7134990,11/5/1999,48,A,,,,,
USGS,7134990,11/6/1999,47,A,,,,,
USGS,7134990,11/7/1999,49,A,,,,,
USGS,7134990,11/8/1999,46,A,,,,,
USGS,7134990,11/9/1999,40,A,,,,,
USGS,7134990,11/10/1999,35,A,,,,,
USGS,7134990,11/11/1999,28,A,,,,,
USGS,7134990,11/12/1999,22,A,,,,,
USGS,7134990,11/13/1999,21,A,,,,,
USGS,7134990,11/14/1999,20,A,,,,,
USGS,7134990,11/15/1999,21,A,,,,,
USGS,7134990,11/16/1999,23,A,,,,,
USGS,7134990,11/17/1999,27,A:e,,,,,
USGS,7134990,11/18/1999,,,,,,,
USGS,7134990,11/19/1999,,,,,,,
USGS,7134990,11/20/1999,,,,,,,
USGS,7134990,11/21/1999,,,,,,,
USGS,7134990,11/22/1999,,,,,,,
USGS,7134990,11/23/1999,,,,,,,
USGS,7134990,11/24/1999,,,,,,,
USGS,7134990,11/25/1999,,,,,,,
USGS,7134990,11/26/1999,,,,,,,
USGS,7134990,11/27/1999,,,,,,,
USGS,7134990,11/28/1999,,,,,,,
USGS,7134990,11/29/1999,,,,,,,
USGS,7134990,11/30/1999,,,,,,,
USGS,7134990,12/1/1999,,,,,,,
USGS,7134990,12/2/1999,,,,,,,
USGS,7134990,12/3/1999,,,,,,,
USGS,7134990,12/4/1999,,,,,,,
USGS,7134990,12/5/1999,,,,,,,
USGS,7134990,12/6/1999,,,,,,,
USGS,7134990,12/7/1999,,,,,,,
USGS,7134990,12/8/1999,,,,,,,
USGS,7134990,12/9/1999,,,,,,,
USGS,7134990,12/10/1999,,,,,,,
USGS,7134990,12/11/1999,,,,,,,
USGS,7134990,12/12/1999,,,,,,,
USGS,7134990,12/13/1999,,,,,,,
USGS,7134990,12/14/1999,,,,,,,
USGS,7134990,12/15/1999,,,,,,,
USGS,7134990,12/16/1999,,,,,,,
USGS,7134990,12/17/1999,,,,,,,
USGS,7134990,12/18/1999,,,,,,,
USGS,7134990,12/19/1999,,,,,,,
USGS,7134990,12/20/1999,,,,,,,
USGS,7134990,12/21/1999,,,,,,,
USGS,7134990,12/22/1999,,,,,,,
USGS,7134990,12/23/1999,,,,,,,
USGS,7134990,12/24/1999,,,,,,,
USGS,7134990,12/25/1999,,,,,,,
USGS,7134990,12/26/1999,,,,,,,
USGS,7134990,12/27/1999,,,,,,,
USGS,7134990,12/28/1999,,,,,,,
USGS,7134990,12/29/1999,,,,,,,
USGS,7134990,12/30/1999,,,,,,,
USGS,7134990,12/31/1999,,,,,,,
USGS,7134990,1/1/2000,,,,,,,
USGS,7134990,1/2/2000,,,,,,,
USGS,7134990,1/3/2000,,,,,,,
USGS,7134990,1/4/2000,,,,,,,
USGS,7134990,1/5/2000,,,,,,,
USGS,7134990,1/6/2000,,,,,,,
USGS,7134990,1/7/2000,,,,,,,
USGS,7134990,1/8/2000,,,,,,,
USGS,7134990,1/9/2000,,,,,,,
USGS,7134990,1/10/2000,,,,,,,
USGS,7134990,1/11/2000,,,,,,,
USGS,7134990,1/12/2000,,,,,,,
USGS,7134990,1/13/2000,,,,,,,
USGS,7134990,1/14/2000,,,,,,,
USGS,7134990,1/15/2000,,,,,,,
USGS,7134990,1/16/2000,,,,,,,
USGS,7134990,1/17/2000,,,,,,,
USGS,7134990,1/18/2000,,,,,,,
USGS,7134990,1/19/2000,,,,,,,
USGS,7134990,1/20/2000,,,,,,,
USGS,7134990,1/21/2000,,,,,,,
USGS,7134990,1/22/2000,,,,,,,
USGS,7134990,1/23/2000,,,,,,,
USGS,7134990,1/24/2000,,,,,,,
USGS,7134990,1/25/2000,,,,,,,
USGS,7134990,1/26/2000,,,,,,,
USGS,7134990,1/27/2000,,,,,,,
USGS,7134990,1/28/2000,,,,,,,
USGS,7134990,1/29/2000,,,,,,,
USGS,7134990,1/30/2000,,,,,,,
USGS,7134990,1/31/2000,,,,,,,
USGS,7134990,2/1/2000,,,,,,,
USGS,7134990,2/2/2000,,,,,,,
USGS,7134990,2/3/2000,,,,,,,
USGS,7134990,2/4/2000,,,,,,,
USGS,7134990,2/5/2000,,,,,,,
USGS,7134990,2/6/2000,,,,,,,
USGS,7134990,2/7/2000,,,,,,,
USGS,7134990,2/8/2000,,,,,,,
USGS,7134990,2/9/2000,,,,,,,
USGS,7134990,2/10/2000,,,,,,,
USGS,7134990,2/11/2000,,,,,,,
USGS,7134990,2/12/2000,,,,,,,
USGS,7134990,2/13/2000,,,,,,,
USGS,7134990,2/14/2000,,,,,,,
USGS,7134990,2/15/2000,,,,,,,
USGS,7134990,2/16/2000,,,,,,,
USGS,7134990,2/17/2000,,,,,,,
USGS,7134990,2/18/2000,,,,,,,
USGS,7134990,2/19/2000,,,,,,,
USGS,7134990,2/20/2000,,,,,,,
USGS,7134990,2/21/2000,,,,,,,
USGS,7134990,2/22/2000,,,,,,,
USGS,7134990,2/23/2000,,,,,,,
USGS,7134990,2/24/2000,,,,,,,
USGS,7134990,2/25/2000,,,,,,,
USGS,7134990,2/26/2000,,,,,,,
USGS,7134990,2/27/2000,,,,,,,
USGS,7134990,2/28/2000,,,,,,,
USGS,7134990,2/29/2000,,,,,,,
USGS,7134990,3/1/2000,,,,,,,
USGS,7134990,3/2/2000,,,,,,,
USGS,7134990,3/3/2000,,,,,,,
USGS,7134990,3/4/2000,,,,,,,
USGS,7134990,3/5/2000,,,,,,,
USGS,7134990,3/6/2000,,,,,,,
USGS,7134990,3/7/2000,,,,,,,
USGS,7134990,3/8/2000,,,,,,,
USGS,7134990,3/9/2000,,,,,,,
USGS,7134990,3/10/2000,,,,,,,
USGS,7134990,3/11/2000,,,,,,,
USGS,7134990,3/12/2000,,,,,,,
USGS,7134990,3/13/2000,,,,,,,
USGS,7134990,3/14/2000,,,,,,,
USGS,7134990,3/15/2000,,,,,,,
USGS,7134990,3/16/2000,,,,,,,
USGS,7134990,3/17/2000,,,,,,,
USGS,7134990,3/18/2000,,,,,,,
USGS,7134990,3/19/2000,,,,,,,
USGS,7134990,3/20/2000,,,,,,,
USGS,7134990,3/21/2000,,,,,,,
USGS,7134990,3/22/2000,,,,,,,
USGS,7134990,3/23/2000,,,,,,,
USGS,7134990,3/24/2000,,,,,,,
USGS,7134990,3/25/2000,,,,,,,
USGS,7134990,3/26/2000,,,,,,,
USGS,7134990,3/27/2000,,,,,,,
USGS,7134990,3/28/2000,,,,,,,
USGS,7134990,3/29/2000,,,,,,,
USGS,7134990,3/30/2000,,,,,,,
USGS,7134990,3/31/2000,,,,,,,
USGS,7134990,4/1/2000,35,A,,,,,
USGS,7134990,4/2/2000,32,A,,,,,
USGS,7134990,4/3/2000,30,A,,,,,
USGS,7134990,4/4/2000,30,A,,,,,
USGS,7134990,4/5/2000,26,A,,,,,
USGS,7134990,4/6/2000,23,A,,,,,
USGS,7134990,4/7/2000,19,A,,,,,
USGS,7134990,4/8/2000,20,A,,,,,
USGS,7134990,4/9/2000,21,A,,,,,
USGS,7134990,4/10/2000,19,A,,,,,
USGS,7134990,4/11/2000,17,A,,,,,
USGS,7134990,4/12/2000,20,A,,,,,
USGS,7134990,4/13/2000,18,A,,,,,
USGS,7134990,4/14/2000,19,A,,,,,
USGS,7134990,4/15/2000,18,A,,,,,
USGS,7134990,4/16/2000,23,A,,,,,
USGS,7134990,4/17/2000,19,A,,,,,
USGS,7134990,4/18/2000,22,A,,,,,
USGS,7134990,4/19/2000,20,A,,,,,
USGS,7134990,4/20/2000,18,A,,,,,
USGS,7134990,4/21/2000,27,A,,,,,
USGS,7134990,4/22/2000,22,A,,,,,
USGS,7134990,4/23/2000,23,A,,,,,
USGS,7134990,4/24/2000,19,A,,,,,
USGS,7134990,4/25/2000,15,A,,,,,
USGS,7134990,4/26/2000,16,A,,,,,
USGS,7134990,4/27/2000,14,A,,,,,
USGS,7134990,4/28/2000,13,A,,,,,
USGS,7134990,4/29/2000,14,A,,,,,
USGS,7134990,4/30/2000,24,A,,,,,
USGS,7134990,5/1/2000,29,A,,,,,
USGS,7134990,5/2/2000,45,A,,,,,
USGS,7134990,5/3/2000,101,A,,,,,
USGS,7134990,5/4/2000,79,A,,,,,
USGS,7134990,5/5/2000,50,A,,,,,
USGS,7134990,5/6/2000,35,A,,,,,
USGS,7134990,5/7/2000,23,A,,,,,
USGS,7134990,5/8/2000,21,A,,,,,
USGS,7134990,5/9/2000,22,A,,,,,
USGS,7134990,5/10/2000,24,A,,,,,
USGS,7134990,5/11/2000,23,A,,,,,
USGS,7134990,5/12/2000,23,A,,,,,
USGS,7134990,5/13/2000,20,A,,,,,
USGS,7134990,5/14/2000,40,A,,,,,
USGS,7134990,5/15/2000,33,A,,,,,
USGS,7134990,5/16/2000,35,A,,,,,
USGS,7134990,5/17/2000,33,A,,,,,
USGS,7134990,5/18/2000,35,A,,,,,
USGS,7134990,5/19/2000,38,A,,,,,
USGS,7134990,5/20/2000,39,A,,,,,
USGS,7134990,5/21/2000,35,A,,,,,
USGS,7134990,5/22/2000,35,A,,,,,
USGS,7134990,5/23/2000,37,A,,,,,
USGS,7134990,5/24/2000,37,A,,,,,
USGS,7134990,5/25/2000,31,A,,,,,
USGS,7134990,5/26/2000,40,A,,,,,
USGS,7134990,5/27/2000,31,A,,,,,
USGS,7134990,5/28/2000,27,A,,,,,
USGS,7134990,5/29/2000,26,A,,,,,
USGS,7134990,5/30/2000,34,A,,,,,
USGS,7134990,5/31/2000,24,A,,,,,
USGS,7134990,6/1/2000,20,A,,,,,
USGS,7134990,6/2/2000,20,A,,,,,
USGS,7134990,6/3/2000,19,A,,,,,
USGS,7134990,6/4/2000,18,A,,,,,
USGS,7134990,6/5/2000,20,A,,,,,
USGS,7134990,6/6/2000,25,A,,,,,
USGS,7134990,6/7/2000,31,A,,,,,
USGS,7134990,6/8/2000,32,A,,,,,
USGS,7134990,6/9/2000,24,A,,,,,
USGS,7134990,6/10/2000,17,A,,,,,
USGS,7134990,6/11/2000,16,A,,,,,
USGS,7134990,6/12/2000,16,A,,,,,
USGS,7134990,6/13/2000,16,A,,,,,
USGS,7134990,6/14/2000,16,A,,,,,
USGS,7134990,6/15/2000,15,A,,,,,
USGS,7134990,6/16/2000,15,A,,,,,
USGS,7134990,6/17/2000,16,A,,,,,
USGS,7134990,6/18/2000,18,A,,,,,
USGS,7134990,6/19/2000,16,A,,,,,
USGS,7134990,6/20/2000,15,A,,,,,
USGS,7134990,6/21/2000,15,A,,,,,
USGS,7134990,6/22/2000,15,A,,,,,
USGS,7134990,6/23/2000,14,A,,,,,
USGS,7134990,6/24/2000,14,A,,,,,
USGS,7134990,6/25/2000,15,A,,,,,
USGS,7134990,6/26/2000,15,A,,,,,
USGS,7134990,6/27/2000,14,A,,,,,
USGS,7134990,6/28/2000,16,A,,,,,
USGS,7134990,6/29/2000,18,A,,,,,
USGS,7134990,6/30/2000,17,A,,,,,
USGS,7134990,7/1/2000,16,A,,,,,
USGS,7134990,7/2/2000,17,A,,,,,
USGS,7134990,7/3/2000,32,A,,,,,
USGS,7134990,7/4/2000,35,A,,,,,
USGS,7134990,7/5/2000,30,A,,,,,
USGS,7134990,7/6/2000,24,A,,,,,
USGS,7134990,7/7/2000,14,A,,,,,
USGS,7134990,7/8/2000,30,A,,,,,
USGS,7134990,7/9/2000,41,A,,,,,
USGS,7134990,7/10/2000,25,A,,,,,
USGS,7134990,7/11/2000,55,A,,,,,
USGS,7134990,7/12/2000,27,A,,,,,
USGS,7134990,7/13/2000,30,A,,,,,
USGS,7134990,7/14/2000,31,A,,,,,
USGS,7134990,7/15/2000,25,A,,,,,
USGS,7134990,7/16/2000,20,A,,,,,
USGS,7134990,7/17/2000,28,A,,,,,
USGS,7134990,7/18/2000,88,A,,,,,
USGS,7134990,7/19/2000,45,A,,,,,
USGS,7134990,7/20/2000,43,A,,,,,
USGS,7134990,7/21/2000,45,A,,,,,
USGS,7134990,7/22/2000,46,A,,,,,
USGS,7134990,7/23/2000,40,A,,,,,
USGS,7134990,7/24/2000,31,A,,,,,
USGS,7134990,7/25/2000,30,A,,,,,
USGS,7134990,7/26/2000,21,A,,,,,
USGS,7134990,7/27/2000,19,A,,,,,
USGS,7134990,7/28/2000,18,A,,,,,
USGS,7134990,7/29/2000,17,A,,,,,
USGS,7134990,7/30/2000,18,A,,,,,
USGS,7134990,7/31/2000,21,A,,,,,
USGS,7134990,8/1/2000,22,A,,,,,
USGS,7134990,8/2/2000,22,A,,,,,
USGS,7134990,8/3/2000,20,A,,,,,
USGS,7134990,8/4/2000,27,A,,,,,
USGS,7134990,8/5/2000,41,A,,,,,
USGS,7134990,8/6/2000,21,A,,,,,
USGS,7134990,8/7/2000,26,A,,,,,
USGS,7134990,8/8/2000,33,A,,,,,
USGS,7134990,8/9/2000,33,A,,,,,
USGS,7134990,8/10/2000,35,A,,,,,
USGS,7134990,8/11/2000,25,A,,,,,
USGS,7134990,8/12/2000,24,A,,,,,
USGS,7134990,8/13/2000,19,A,,,,,
USGS,7134990,8/14/2000,18,A,,,,,
USGS,7134990,8/15/2000,18,A,,,,,
USGS,7134990,8/16/2000,17,A,,,,,
USGS,7134990,8/17/2000,16,A,,,,,
USGS,7134990,8/18/2000,20,A,,,,,
USGS,7134990,8/19/2000,17,A,,,,,
USGS,7134990,8/20/2000,16,A,,,,,
USGS,7134990,8/21/2000,17,A,,,,,
USGS,7134990,8/22/2000,20,A,,,,,
USGS,7134990,8/23/2000,17,A,,,,,
USGS,7134990,8/24/2000,16,A,,,,,
USGS,7134990,8/25/2000,16,A,,,,,
USGS,7134990,8/26/2000,15,A,,,,,
USGS,7134990,8/27/2000,15,A,,,,,
USGS,7134990,8/28/2000,15,A,,,,,
USGS,7134990,8/29/2000,16,A,,,,,
USGS,7134990,8/30/2000,16,A,,,,,
USGS,7134990,8/31/2000,16,A,,,,,
USGS,7134990,9/1/2000,15,A,,,,,
USGS,7134990,9/2/2000,15,A,,,,,
USGS,7134990,9/3/2000,15,A,,,,,
USGS,7134990,9/4/2000,15,A,,,,,
