# ---------------------------------- WARNING ----------------------------------------,,,,,,,,,,
# The data you have obtained from this automated U.S. Geological Survey database,,,,,,,,,,
# have not received Director's approval and as such are provisional and subject to,,,,,,,,,,
# revision.  The data are released on the condition that neither the USGS nor the,,,,,,,,,,
# United States Government may be held liable for any damages resulting from its use.,,,,,,,,,,
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional,,,,,,,,,,
#,,,,,,,,,,
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info,,,,,,,,,,
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info,,,,,,,,,,
#,,,,,,,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,,,,,,,
# retrieved: 2012-01-11 22:35:13 EST       (caww02),,,,,,,,,,
#,,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,,
"#    USGS 07130500 ARKANSAS RIVER BELOW JOHN MARTIN RESERVOIR, CO.",,,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,,
#,,,,,,,,,,
# Data provided for site 07130500,,,,,,,,,,
#    DD parameter statistic   Description,,,,,,,,,,
"#    01   00060     00003     Discharge, cubic feet per second (Mean)",,,,,,,,,,
"#    15   00010     00001     Temperature, water, degrees Celsius (Maximum)",,,,,,,,,,
"#    15   00010     00002     Temperature, water, degrees Celsius (Minimum)",,,,,,,,,,
"#    16   00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)",,,,,,,,,,
#,,,,,,,,,,
# Data-value qualification codes included in this output: ,,,,,,,,,,
#     Eqp  Equipment malfunction  ,,,,,,,,,,
#     A  Approved for publication -- Processing and review completed.  ,,,,,,,,,,
#     P  Provisional data subject to revision.  ,,,,,,,,,,
#     e  Value has been estimated.  ,,,,,,,,,,
# ,,,,,,,,,,
agency_cd,site_no,datetime,01_00060_00003,01_00060_00003_cd,15_00010_00001,15_00010_00001_cd,15_00010_00002,15_00010_00002_cd,16_00095_00003,16_00095_00003_cd
USGS,7130500,5/24/1999,2940,A,13.4,A,13.1,A,1920,A
USGS,7130500,5/25/1999,2720,A,13.5,A,13.1,A,1910,A
USGS,7130500,5/26/1999,2710,A,13.8,A,13.3,A,1910,A
USGS,7130500,5/27/1999,2880,A,13.9,A,13.5,A,1900,A
USGS,7130500,5/28/1999,2880,A,13.9,A,13.6,A,1910,A
USGS,7130500,5/29/1999,2880,A,14.9,A,13.6,A,1900,A
USGS,7130500,5/30/1999,2880,A,14.9,A,14.1,A,1890,A
USGS,7130500,5/31/1999,2880,A,15.2,A,14.1,A,1880,A
USGS,7130500,6/1/1999,2960,A,15.3,A,14.8,A,1880,A
USGS,7130500,6/2/1999,3010,A,15,A,14.5,A,1880,A
USGS,7130500,6/3/1999,3140,A,15.9,A,14.6,A,1880,A
USGS,7130500,6/4/1999,3210,A,17,A,15.4,A,1870,A
USGS,7130500,6/5/1999,3270,A,17.9,A,15.9,A,1870,A
USGS,7130500,6/6/1999,3320,A,18,A,17.4,A,1860,A
USGS,7130500,6/7/1999,3320,A,17.7,A,16.8,A,1870,A
USGS,7130500,6/8/1999,3300,A,17.9,A,16.9,A,1860,A
USGS,7130500,6/9/1999,3290,A,17.5,A,17,A,1860,A
USGS,7130500,6/10/1999,3030,A,17.6,A,17.1,A,1870,A
USGS,7130500,6/11/1999,2670,A,17.8,A,17.1,A,1870,A
USGS,7130500,6/12/1999,2560,A,18,A,17.4,A,1870,A
USGS,7130500,6/13/1999,2560,A,17.9,A,17.4,A,1880,A
USGS,7130500,6/14/1999,2560,A,17.7,A,17.3,A,1880,A
USGS,7130500,6/15/1999,2560,A,18.1,A,17.6,A,1880,A
USGS,7130500,6/16/1999,2290,A,17.8,A,17.5,A,1880,A
USGS,7130500,6/17/1999,2130,A,17.9,A,17.5,A,1890,A
USGS,7130500,6/18/1999,2130,A,18.5,A,17.8,A,1880,A
USGS,7130500,6/19/1999,2130,A,18.6,A,18,A,1880,A
USGS,7130500,6/20/1999,2130,A,18.3,A,18,A,1870,A
USGS,7130500,6/21/1999,2130,A,18.5,A,18,A,1870,A
USGS,7130500,6/22/1999,2120,A,18.7,A,18,A,1860,A
USGS,7130500,6/23/1999,1840,A,18.6,A,18.3,A,1860,A
USGS,7130500,6/24/1999,1600,A,19.3,A,18.5,A,1850,A
USGS,7130500,6/25/1999,1450,A,19.1,A,18.6,A,1860,A
USGS,7130500,6/26/1999,1240,A,19.1,A,18.6,A,1870,A
USGS,7130500,6/27/1999,1240,A,19,A,18.7,A,1880,A
USGS,7130500,6/28/1999,1540,A,19.5,A,18.8,A,1880,A
USGS,7130500,6/29/1999,1790,A,19.1,A,18.8,A,1890,A
USGS,7130500,6/30/1999,1790,A,19.2,A,18.8,A,1890,A
USGS,7130500,7/1/1999,1570,A,19.3,A,18.8,A,1890,A
USGS,7130500,7/2/1999,1060,A,19.6,A,18.9,A,1890,A
USGS,7130500,7/3/1999,745,A,19.5,A,18.9,A,1890,A
USGS,7130500,7/4/1999,746,A,19.7,A,19.1,A,1890,A
USGS,7130500,7/5/1999,682,A,19.6,A,19,A,1880,A
USGS,7130500,7/6/1999,637,A,19.6,A,19.1,A,1880,A
USGS,7130500,7/7/1999,587,A,19.7,A,19,A,1880,A
USGS,7130500,7/8/1999,915,A,19.8,A,19,A,1880,A
USGS,7130500,7/9/1999,1240,A,21,A,19.4,A,1850,A
USGS,7130500,7/10/1999,1200,A,20.9,A,20.3,A,1850,A
USGS,7130500,7/11/1999,1200,A,20.6,A,20.3,A,1870,A
USGS,7130500,7/12/1999,1090,A,20.7,A,20.2,A,1860,A
USGS,7130500,7/13/1999,981,A,20.8,A,20.4,A,1850,A
USGS,7130500,7/14/1999,961,A,21.2,A,20.5,A,1840,A
USGS,7130500,7/15/1999,1130,A,21.7,A,20.9,A,1830,A
USGS,7130500,7/16/1999,1330,A,22.1,A,21.3,A,1810,A
USGS,7130500,7/17/1999,1190,A,22.5,A,21.9,A,1780,A
USGS,7130500,7/18/1999,1070,A,22.3,A,21.9,A,1780,A
USGS,7130500,7/19/1999,1040,A,22.3,A,21.8,A,1770,A
USGS,7130500,7/20/1999,1000,A,22.3,A,21.9,A,1770,A
USGS,7130500,7/21/1999,994,A,22.4,A,21.9,A,1760,A
USGS,7130500,7/22/1999,995,A,22.4,A,21.9,A,1750,A
USGS,7130500,7/23/1999,1070,A,22.6,A,22,A,1750,A
USGS,7130500,7/24/1999,1110,A,22.7,A,22.2,A,1740,A
USGS,7130500,7/25/1999,1120,A,22.7,A,22.2,A,1730,A
USGS,7130500,7/26/1999,1130,A,22.6,A,22.3,A,1730,A
USGS,7130500,7/27/1999,1200,A,22.6,A,22.3,A,1710,A
USGS,7130500,7/28/1999,1260,A,22.7,A,22.4,A,1690,A
USGS,7130500,7/29/1999,1260,A,22.7,A,22.3,A,1660,A
USGS,7130500,7/30/1999,1240,A,22.7,A,22.3,A,1660,A
USGS,7130500,7/31/1999,1250,A,22.8,A,22.4,A,1670,A
USGS,7130500,8/1/1999,1250,A,23.1,A,22.6,A,1670,A
USGS,7130500,8/2/1999,646,A,23,A,22.3,A,1670,A
USGS,7130500,8/3/1999,252,A,23.1,A,22.3,A,1670,A
USGS,7130500,8/4/1999,222,A,22.7,A,22,A,1670,A
USGS,7130500,8/5/1999,171,A,23.1,A,21.9,A,1660,A
USGS,7130500,8/6/1999,151,A,23.3,A,21.6,A,1660,A
USGS,7130500,8/7/1999,152,A,23.5,A,21.8,A,1680,A
USGS,7130500,8/8/1999,670,A,22.9,A,22,A,1660,A
USGS,7130500,8/9/1999,1440,A,23.1,A,22.6,A,1600,A
USGS,7130500,8/10/1999,2080,A,23.8,A,23,A,1540,A
USGS,7130500,8/11/1999,2660,A,23.6,A,23.3,A,1550,A
USGS,7130500,8/12/1999,2790,A,23.6,A,23.2,A,1560,A
USGS,7130500,8/13/1999,2800,A,23.9,A,23.3,A,1560,A
USGS,7130500,8/14/1999,2790,A,24.3,A,23.3,A,1580,A
USGS,7130500,8/15/1999,2780,A,24.9,A,23.8,A,1580,A
USGS,7130500,8/16/1999,2210,A,24.5,A,24,A,1580,A
USGS,7130500,8/17/1999,909,A,24.3,A,23.6,A,1590,A
USGS,7130500,8/18/1999,503,A,24.3,A,23.7,A,1580,A
USGS,7130500,8/19/1999,526,A,24.1,A,23.6,A,1570,A
USGS,7130500,8/20/1999,571,A,24.3,A,23.6,A,1570,A
USGS,7130500,8/21/1999,599,A,24.3,A,23.7,A,1560,A
USGS,7130500,8/22/1999,602,A,24.4,A,23.8,A,1580,A
USGS,7130500,8/23/1999,631,A,24.4,A,23.8,A,1580,A
USGS,7130500,8/24/1999,653,A,24.5,A,23.8,A,1580,A
USGS,7130500,8/25/1999,588,A,24.5,A,23.8,A,1580,A
USGS,7130500,8/26/1999,550,A,24.6,A,23.8,A,1610,A
USGS,7130500,8/27/1999,550,A,24.6,A,24,A,1620,A
USGS,7130500,8/28/1999,551,A,24.7,A,24,A,1620,A
USGS,7130500,8/29/1999,550,A,24.5,A,23.9,A,1620,A
USGS,7130500,8/30/1999,549,A,24.7,A,23.9,A,1630,A
USGS,7130500,8/31/1999,548,A,24.6,A,23.8,A,1630,A
USGS,7130500,9/1/1999,573,A,24.7,A,23.8,A,1640,A
USGS,7130500,9/2/1999,606,A,24.4,A,24,A,1620,A
USGS,7130500,9/3/1999,627,A,24.5,A,23.8,A,1620,A
USGS,7130500,9/4/1999,633,A,24.4,A,23.7,A,1610,A
USGS,7130500,9/5/1999,631,A,24.3,A,23.7,A,1610,A
USGS,7130500,9/6/1999,628,A,24.1,A,23.5,A,1590,A
USGS,7130500,9/7/1999,595,A,24,A,23.3,A,1570,A
USGS,7130500,9/8/1999,560,A,23.7,A,23.1,A,1570,A
USGS,7130500,9/9/1999,540,A,23.6,A,22.8,A,1560,A
USGS,7130500,9/10/1999,509,A,23.3,A,22.8,A,1560,A
USGS,7130500,9/11/1999,494,A,23.3,A,22.7,A,1600,A
USGS,7130500,9/12/1999,495,A,22.7,A,22.3,A,1600,A
USGS,7130500,9/13/1999,480,A,22.6,A,22.1,A,1580,A
USGS,7130500,9/14/1999,454,A,22.5,A,21.6,A,1570,A
USGS,7130500,9/15/1999,397,A,21.7,A,21.6,A,1590,A
USGS,7130500,9/16/1999,346,A,21.8,A,21.2,A,1580,A
USGS,7130500,9/17/1999,315,A,21.7,A,21.2,A,1570,A
USGS,7130500,9/18/1999,315,A,21.6,A,20.9,A,1540,A
USGS,7130500,9/19/1999,318,A,20.9,A,20.7,A,1520,A
USGS,7130500,9/20/1999,299,A,20.7,A,20.3,A,1510,A
USGS,7130500,9/21/1999,284,A,20.9,A,19.6,A,1520,A
USGS,7130500,9/22/1999,262,A,20.6,A,19.5,A,1510,A
USGS,7130500,9/23/1999,267,A,20,A,19.2,A,1520,A
USGS,7130500,9/24/1999,279,A,19.6,A,18.9,A,1530,A
USGS,7130500,9/25/1999,277,A,19.6,A,18.7,A,1580,A
USGS,7130500,9/26/1999,279,A,19.4,A,18.5,A,1590,A
USGS,7130500,9/27/1999,288,A,18.6,A,18.3,A,1620,A
USGS,7130500,9/28/1999,291,A,18.5,A,17.8,A,1610,A
USGS,7130500,9/29/1999,291,A,18,A,17.2,A,1650,A
USGS,7130500,9/30/1999,282,A,18,A,17.2,A,1660,A
USGS,7130500,10/1/1999,249,A,17.9,A,16.9,A,1670,A
USGS,7130500,10/2/1999,233,A,17.5,A,16.7,A,1670,A
USGS,7130500,10/3/1999,233,A,16.9,A,16.2,A,1680,A
USGS,7130500,10/4/1999,217,A,16.9,A,16,A,1630,A
USGS,7130500,10/5/1999,175,A,16.9,A,15.8,A,1650,A
USGS,7130500,10/6/1999,145,A,16.6,A,15.4,A,1680,A
USGS,7130500,10/7/1999,140,A,16.3,A,15.3,A,1680,A
USGS,7130500,10/8/1999,139,A,16.1,A,15.3,A,1680,A
USGS,7130500,10/9/1999,140,A,16.3,A,15.2,A,1670,A
USGS,7130500,10/10/1999,140,A,16.3,A,15.1,A,1670,A
USGS,7130500,10/11/1999,140,A,16.3,A,15.2,A,1680,A
USGS,7130500,10/12/1999,139,A,16.3,A,15.1,A,1690,A
USGS,7130500,10/13/1999,138,A,16.1,A,15.1,A,1690,A
USGS,7130500,10/14/1999,137,A,16.2,A,15,A,1690,A
USGS,7130500,10/15/1999,148,A,15.8,A,14.9,A,1690,A
USGS,7130500,10/16/1999,154,A,15.1,A,14.5,A,1670,A
USGS,7130500,10/17/1999,154,A,15,A,13.8,A,1680,A
USGS,7130500,10/18/1999,194,A,14.5,A,13.7,A,1710,A
USGS,7130500,10/19/1999,218,A,14.4,A,13.7,A,1710,A
USGS,7130500,10/20/1999,211,A,14.5,A,13.5,A,1710,A
USGS,7130500,10/21/1999,212,A,14.5,A,13.6,A,1700,A
USGS,7130500,10/22/1999,250,A,14.3,A,13.4,A,1680,A
USGS,7130500,10/23/1999,270,A,14.2,A,13.5,A,1680,A
USGS,7130500,10/24/1999,270,A,14.1,A,13.2,A,1700,A
USGS,7130500,10/25/1999,263,A,13.7,A,12.9,A,1700,A
USGS,7130500,10/26/1999,258,A,13.6,A,12.9,A,1710,A
USGS,7130500,10/27/1999,260,A,13.2,A,12.6,A,1780,A
USGS,7130500,10/28/1999,262,A,13,A,12.4,A,1790,A
USGS,7130500,10/29/1999,262,A,12.8,A,12.3,A,1740,A
USGS,7130500,10/30/1999,262,A,12.6,A,12,A,1710,A
USGS,7130500,10/31/1999,262,A,12.5,A,11.8,A,1730,A
USGS,7130500,11/1/1999,263,A,12.2,A,11.7,A,1730,A
USGS,7130500,11/2/1999,225,A,12.1,A,11.2,A,1720,A
USGS,7130500,11/3/1999,203,A,12.1,A,11.2,A,1720,A
USGS,7130500,11/4/1999,208,A,12,A,11.1,A,1720,A
USGS,7130500,11/5/1999,217,A,11.9,A,11.2,A,1720,A
USGS,7130500,11/6/1999,220,A,11.7,A,11,A,1720,A
USGS,7130500,11/7/1999,220,A,11.7,A,10.9,A,1720,A
USGS,7130500,11/8/1999,211,A,11.7,A,11,A,1720,A
USGS,7130500,11/9/1999,234,A,11.1,A,10.5,A,1770,A
USGS,7130500,11/10/1999,253,A,11,A,10.3,A,1770,A
USGS,7130500,11/11/1999,252,A,10.9,A,10.2,A,1790,A
USGS,7130500,11/12/1999,253,A,11,A,10.2,A,1800,A
USGS,7130500,11/13/1999,252,A,10.9,A,10.3,A,1770,A
USGS,7130500,11/14/1999,252,A,11,A,10.3,A,1800,A
USGS,7130500,11/15/1999,253,A,11,A,10.3,A,1840,A
USGS,7130500,11/16/1999,253,A,10.8,A,10.2,A,1800,A
USGS,7130500,11/17/1999,228,A,10.7,A,10.1,A,1770,A
USGS,7130500,11/18/1999,211,A,10.7,A,10.1,A,1770,A
USGS,7130500,11/19/1999,201,A,10.4,A,9.7,A,1770,A
USGS,7130500,11/20/1999,197,A,10.3,A,9.6,A,1760,A
USGS,7130500,11/21/1999,196,A,10.1,A,9.4,A,1760,A
USGS,7130500,11/22/1999,178,A,9.6,A,9.3,A,1770,A
USGS,7130500,11/23/1999,132,A,9.6,A,8.8,A,1770,A
USGS,7130500,11/24/1999,95,A,9.4,A,8.6,A,1770,A
USGS,7130500,11/25/1999,89,A,9.1,A,8.3,A,1770,A
USGS,7130500,11/26/1999,81,A,9.3,A,8.2,A,1770,A
USGS,7130500,11/27/1999,75,A,9.4,A,8.4,A,1770,A
USGS,7130500,11/28/1999,76,A,8.8,A,8.2,A,1770,A
USGS,7130500,11/29/1999,76,A,8.7,A,8.1,A,1780,A
USGS,7130500,11/30/1999,33,A,,,,,1750,A
USGS,7130500,12/1/1999,3.8,A,,,,,,
USGS,7130500,12/2/1999,3.7,A,,,,,,
USGS,7130500,12/3/1999,3.7,A,,,,,,
USGS,7130500,12/4/1999,3.8,A,,,,,,
USGS,7130500,12/5/1999,3.9,A,,,,,,
USGS,7130500,12/6/1999,4.1,A,,,,,,
USGS,7130500,12/7/1999,4.1,A,,,,,,
USGS,7130500,12/8/1999,4.1,A,5.5,A,3.5,A,1940,A
USGS,7130500,12/9/1999,4.2,A,6.1,A,3.5,A,1970,A
USGS,7130500,12/10/1999,4.2,A,5.4,A,3.3,A,1950,A
USGS,7130500,12/11/1999,4.2,A,5.8,A,4,A,1980,A
USGS,7130500,12/12/1999,4.2,A:e,,,,,,
USGS,7130500,12/13/1999,4.5,A:e,,,,,,
USGS,7130500,12/14/1999,4.6,A,3.8,A,,,2020,A
USGS,7130500,12/15/1999,4.6,A,4.3,A,2.1,A,2000,A
USGS,7130500,12/16/1999,4.4,A,4.8,A,2.3,A,1960,A
USGS,7130500,12/17/1999,4.4,A,4.8,A,3,A,1950,A
USGS,7130500,12/18/1999,4.5,A:e,,,,,,
USGS,7130500,12/19/1999,4.2,A:e,,,,,,
USGS,7130500,12/20/1999,4.5,A,5.1,A,3.1,A,2040,A
USGS,7130500,12/21/1999,4.5,A,4.1,A,2.5,A,2010,A
USGS,7130500,12/22/1999,4.5,A:e,,,,,,
USGS,7130500,12/23/1999,4.5,A:e,,,,,,
USGS,7130500,12/24/1999,4.4,A:e,,,,,,
USGS,7130500,12/25/1999,4.3,A:e,,,,,,
USGS,7130500,12/26/1999,4.2,A:e,,,,,,
USGS,7130500,12/27/1999,4.1,A:e,,,,,,
USGS,7130500,12/28/1999,4.1,A,,,,,,
USGS,7130500,12/29/1999,4.2,A,5.6,A,3.1,A,2010,A
USGS,7130500,12/30/1999,4,A,5.7,A,2.7,A,2020,A
USGS,7130500,12/31/1999,3.9,A,5.2,A,2,A,1980,A
USGS,7130500,1/1/2000,3.8,A,7,A,3.1,A,2000,A
USGS,7130500,1/2/2000,3.7,A,6.7,A,3.8,A,2070,A
USGS,7130500,1/3/2000,3.8,A,4.6,A,1.8,A,2070,A
USGS,7130500,1/4/2000,4,A,4.8,A,1.4,A,2060,A
USGS,7130500,1/5/2000,3.8,A,4.2,A,2.2,A,2020,A
USGS,7130500,1/6/2000,3.7,A,4.7,A,2.5,A,2000,A
USGS,7130500,1/7/2000,3.8,A,4.7,A,1.4,A,2050,A
USGS,7130500,1/8/2000,3.9,A,4.9,A,1.6,A,2030,A
USGS,7130500,1/9/2000,3.8,A,5,A,2.1,A,2010,A
USGS,7130500,1/10/2000,3.8,A,5.3,A,2.5,A,2020,A
USGS,7130500,1/11/2000,3.8,A,6.1,A,2.2,A,2050,A
USGS,7130500,1/12/2000,3.6,A,7.1,A,3.3,A,2080,A
USGS,7130500,1/13/2000,3.7,A,,,,,2070,A
USGS,7130500,1/14/2000,3.8,A,,,,,,
USGS,7130500,1/15/2000,3.8,A,,,,,,
USGS,7130500,1/16/2000,3.8,A,,,,,,
USGS,7130500,1/17/2000,3.7,A,,,,,,
USGS,7130500,1/18/2000,3.7,A,,,,,,
USGS,7130500,1/19/2000,3.7,A,,,,,,
USGS,7130500,1/20/2000,3.8,A,6.7,A,4,A,2110,A
USGS,7130500,1/21/2000,3.8,A,6.5,A,4.1,A,2110,A
USGS,7130500,1/22/2000,3.8,A,6,A,3.6,A,2120,A
USGS,7130500,1/23/2000,3.8,A,6.7,A,3.2,A,2120,A
USGS,7130500,1/24/2000,3.8,A,6.3,A,3.2,A,2130,A
USGS,7130500,1/25/2000,3.8,A,4.8,A,3.3,A,2110,A
USGS,7130500,1/26/2000,3.7,A,6,A,3.3,A,2120,A
USGS,7130500,1/27/2000,3.9,A,4.7,A,2.8,A,2120,A
USGS,7130500,1/28/2000,15,A,4.6,A,2.4,A,2100,A
USGS,7130500,1/29/2000,32,A,4.4,A,2.7,A,1990,A
USGS,7130500,1/30/2000,32,A,4.2,A,2.4,A,1930,A
USGS,7130500,1/31/2000,125,A,3,A,2.1,A,1900,A
