# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2012-01-11 22:47:04 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07137500 ARKANSAS R NR COOLIDGE, KS
# -----------------------------------------------------------------------------------
#
# Data provided for site 07137500
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#    04   00010     00003     Temperature, water, degrees Celsius (Mean)
#    06   00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#
# Data-value qualification codes included in this output: 
#     Ice  Ice affected  
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd	04_00010_00003	04_00010_00003_cd	06_00095_00003	06_00095_00003_cd
USGS	07137500	1999-07-17	747	A				
USGS	07137500	1999-07-18	796	A				
USGS	07137500	1999-07-19	697	A				
USGS	07137500	1999-07-20	658	A				
USGS	07137500	1999-07-21	628	A				
USGS	07137500	1999-07-22	591	A				
USGS	07137500	1999-07-23	554	A	25.6	A	2650	A
USGS	07137500	1999-07-24	552	A	26.1	A	2660	A
USGS	07137500	1999-07-25	572	A	25.6	A	2570	A
USGS	07137500	1999-07-26	601	A	26.1	A	2530	A
USGS	07137500	1999-07-27	599	A	26.5	A	2530	A
USGS	07137500	1999-07-28	578	A	25.9	A	2500	A
USGS	07137500	1999-07-29	643	A	25.7	A	2380	A
USGS	07137500	1999-07-30	678	A	26.4	A	2020	A
USGS	07137500	1999-07-31	734	A	25.4	A	1870	A
USGS	07137500	1999-08-01	1180	A	23.4	A	1650	A
USGS	07137500	1999-08-02	2160	A	21.8	A	1560	A
USGS	07137500	1999-08-03	2030	A	22.3	A	2130	A
USGS	07137500	1999-08-04	1040	A	22.2	A	2440	A
USGS	07137500	1999-08-05	906	A	21.9	A	2080	A
USGS	07137500	1999-08-06	736	A	23.3	A	1800	A
USGS	07137500	1999-08-07	742	A	24.6	A	2320	A
USGS	07137500	1999-08-08	532	A	24.9	A	2470	A
USGS	07137500	1999-08-09	430	A	24.8	A	2230	A
USGS	07137500	1999-08-10	878	A:e	25.9	A	1700	A
USGS	07137500	1999-08-11	1470	A:e	25.8	A	2080	A
USGS	07137500	1999-08-12	2070	A	25.2	A	1970	A
USGS	07137500	1999-08-13	2440	A	24.3	A		
USGS	07137500	1999-08-14	2640	A	23.9	A	2020	A
USGS	07137500	1999-08-15	2750	A	24.5	A	1950	A
USGS	07137500	1999-08-16	2790	A	25.2	A	1900	A
USGS	07137500	1999-08-17	2740	A	26.0	A	2000	A
USGS	07137500	1999-08-18	1640	A	25.1	A	2210	A
USGS	07137500	1999-08-19	811	A	24.4	A	2180	A
USGS	07137500	1999-08-20	581	A:e	24.2	A	2280	A
USGS	07137500	1999-08-21	492	A:e	24.7	A	2150	A
USGS	07137500	1999-08-22	436	A:e	24.9	A	1960	A
USGS	07137500	1999-08-23	408	A:e	24.6	A	2090	A
USGS	07137500	1999-08-24	384	A:e	24.5	A	2120	A
USGS	07137500	1999-08-25	367	A:e	24.0	A	2160	A
USGS	07137500	1999-08-26	354	A	24.1	A	2200	A
USGS	07137500	1999-08-27	348	A	24.3	A	1980	A
USGS	07137500	1999-08-28	327	A	24.4	A	1770	A
USGS	07137500	1999-08-29	325	A	24.1	A	2360	A
USGS	07137500	1999-08-30	350	A	24.2	A	2530	A
USGS	07137500	1999-08-31	333	A	23.9	A	2500	A
USGS	07137500	1999-09-01	302	A	22.6	A	2580	A
USGS	07137500	1999-09-02	306	A	21.7	A		
USGS	07137500	1999-09-03	302	A	21.8	A	3540	A
USGS	07137500	1999-09-04	315	A	21.8	A	3410	A
USGS	07137500	1999-09-05	346	A	21.4	A	3120	A
USGS	07137500	1999-09-06	369	A	21.9	A	2840	A
USGS	07137500	1999-09-07	362	A	21.7	A	2800	A
USGS	07137500	1999-09-08	359	A	20.4	A	2540	A
USGS	07137500	1999-09-09	354	A	20.1	A	2380	A
USGS	07137500	1999-09-10	346	A	21.4	A	2310	A
USGS	07137500	1999-09-11	344	A	21.4	A	2320	A
USGS	07137500	1999-09-12	359	A	18.7	A	2260	A
USGS	07137500	1999-09-13	331	A	18.2	A	2330	A
USGS	07137500	1999-09-14	339	A	18.3	A	2320	A
USGS	07137500	1999-09-15	346	A	16.8	A	2290	A
USGS	07137500	1999-09-16	372	A	15.6	A	2200	A
USGS	07137500	1999-09-17	378	A	17.0	A	2160	A
USGS	07137500	1999-09-18	376	A	19.6	A	2150	A
USGS	07137500	1999-09-19	354	A	17.4	A	2190	A
USGS	07137500	1999-09-20	362	A	14.3	A	2190	A
USGS	07137500	1999-09-21	360	A	15.6	A	2190	A
USGS	07137500	1999-09-22	363	A	17.2	A	2150	A
USGS	07137500	1999-09-23	348	A	18.0	A	2160	A
USGS	07137500	1999-09-24	329	A	17.6	A	2870	A
USGS	07137500	1999-09-25	321	A	18.0	A	3520	A
USGS	07137500	1999-09-26	320	A	17.7	A	3460	A
USGS	07137500	1999-09-27	323	A	14.9	A	3400	A
USGS	07137500	1999-09-28	332	A	12.8	A	3370	A
USGS	07137500	1999-09-29	329	A	12.0	A	3360	A
USGS	07137500	1999-09-30	343	A	13.7	A	3320	A
USGS	07137500	1999-10-01	350	A	14.8	A	3110	A
USGS	07137500	1999-10-02	350	A	13.0	A	3040	A
USGS	07137500	1999-10-03	362	A	11.9	A	2860	A
USGS	07137500	1999-10-04	365	A	12.5	A	3060	A
USGS	07137500	1999-10-05	369	A	14.1	A	3100	A
USGS	07137500	1999-10-06	356	A	15.5	A	3060	A
USGS	07137500	1999-10-07	358	A	14.8	A	3120	A
USGS	07137500	1999-10-08	353	A	14.9	A	3310	A
USGS	07137500	1999-10-09	330	A	14.9	A	3340	A
USGS	07137500	1999-10-10	316	A	15.6	A	1590	A
USGS	07137500	1999-10-11	293	A	16.1	A	879	A
USGS	07137500	1999-10-12	269	A	16.2	A	1030	A
USGS	07137500	1999-10-13	254	A	15.8	A	2380	A
USGS	07137500	1999-10-14	255	A	15.6	A	3870	A
USGS	07137500	1999-10-15	260	A	15.0	A	3760	A
USGS	07137500	1999-10-16	253	A	11.3	A	3840	A
USGS	07137500	1999-10-17	255	A	10.3	A	3810	A
USGS	07137500	1999-10-18	264	A	10.4	A	3640	A
USGS	07137500	1999-10-19	283	A	11.5	A	3070	A
USGS	07137500	1999-10-20	267	A	11.4	A		
USGS	07137500	1999-10-21	268	A	12.1	A	3250	A
USGS	07137500	1999-10-22	254	A	12.3	A	3080	A
USGS	07137500	1999-10-23	248	A	12.3	A	3050	A
USGS	07137500	1999-10-24	252	A	11.9	A	3010	A
USGS	07137500	1999-10-25	283	A	12.1	A	2740	A
USGS	07137500	1999-10-26	269	A	12.2	A	2600	A
USGS	07137500	1999-10-27	263	A	11.8	A	2650	A
USGS	07137500	1999-10-28	256	A	10.8	A		
USGS	07137500	1999-10-29	255	A	10.6	A		
USGS	07137500	1999-10-30	277	A	9.3	A	2750	A
USGS	07137500	1999-10-31	306	A	9.5	A	2670	A
USGS	07137500	1999-11-01	313	A	9.1	A	2610	A
USGS	07137500	1999-11-02	317	A	7.8	A	2510	A
USGS	07137500	1999-11-03	311	A	8.3	A	2820	A
USGS	07137500	1999-11-04	286	A	9.2	A	2930	A
USGS	07137500	1999-11-05	282	A	9.7	A	2720	A
USGS	07137500	1999-11-06	264	A	9.4	A	2710	A
USGS	07137500	1999-11-07	265	A	9.8	A	2700	A
USGS	07137500	1999-11-08	279	A	11.0	A	2650	A
USGS	07137500	1999-11-09	255	A	11.3	A	2690	A
USGS	07137500	1999-11-10	242	A	10.5	A	2730	A
USGS	07137500	1999-11-11	225	A	10.8	A	2800	A
USGS	07137500	1999-11-12	224	A	10.4	A	2810	A
USGS	07137500	1999-11-13	245	A	10.1	A	2750	A
USGS	07137500	1999-11-14	266	A	9.9	A	2690	A
USGS	07137500	1999-11-15	281	A	9.8	A	2650	A
USGS	07137500	1999-11-16	314	A	9.5	A	2590	A
USGS	07137500	1999-11-17	317	A	9.2	A	2590	A
USGS	07137500	1999-11-18	311	A	9.9	A	2680	A
USGS	07137500	1999-11-19	304	A	8.8	A	2570	A
USGS	07137500	1999-11-20	297	A	7.9	A	2560	A
USGS	07137500	1999-11-21	321	A	7.9	A	2570	A
USGS	07137500	1999-11-22	337	A	7.4	A	2550	A
USGS	07137500	1999-11-23	355	A	6.3	A	2510	A
USGS	07137500	1999-11-24	346	A	5.4	A	2510	A
USGS	07137500	1999-11-25	319	A	4.5	A	2570	A
USGS	07137500	1999-11-26	318	A	5.7	A	2600	A
USGS	07137500	1999-11-27	334	A	7.4	A	2580	A
USGS	07137500	1999-11-28	311	A	7.6	A	2610	A
USGS	07137500	1999-11-29	300	A	7.0	A	2640	A
USGS	07137500	1999-11-30	286	A	7.6	A	2660	A
USGS	07137500	1999-12-01	280	A	8.1	A	2700	A
USGS	07137500	1999-12-02	294	A	7.7	A	2690	A
USGS	07137500	1999-12-03	282	A	6.4	A	2700	A
USGS	07137500	1999-12-04	264	A	5.0	A	2740	A
USGS	07137500	1999-12-05	239	A	2.9	A	2810	A
USGS	07137500	1999-12-06	245	A	3.3	A	2820	A
USGS	07137500	1999-12-07	249	A	3.9	A	2840	A
USGS	07137500	1999-12-08	245	A	4.5	A	3440	A
USGS	07137500	1999-12-09	237	A	3.9	A	3590	A
USGS	07137500	1999-12-10	253	A	3.6	A	3400	A
USGS	07137500	1999-12-11	264	A	4.1	A	3350	A
USGS	07137500	1999-12-12	262	A	3.6	A	3330	A
USGS	07137500	1999-12-13	252	A	3.2	A	3340	A
USGS	07137500	1999-12-14	257	A	2.8	A	3350	A
USGS	07137500	1999-12-15	242	A			3380	A
USGS	07137500	1999-12-16	233	A	3.0	A	3360	A
USGS	07137500	1999-12-17	248	A	4.5	A	3350	A
USGS	07137500	1999-12-18	258	A	4.9	A	3330	A
USGS	07137500	1999-12-19	258	A	5.0	A	3330	A
USGS	07137500	1999-12-20	253	A	3.6	A	3350	A
USGS	07137500	1999-12-21	252	A	2.6	A	3360	A
USGS	07137500	1999-12-22	249	A	2.9	A	3360	A
USGS	07137500	1999-12-23	246	A	3.4	A	3350	A
USGS	07137500	1999-12-24	246	A	4.3	A	3340	A
USGS	07137500	1999-12-25	248	A	4.7	A	3330	A
USGS	07137500	1999-12-26	247	A	4.8	A	3330	A
USGS	07137500	1999-12-27	250	A	4.7	A	3340	A
USGS	07137500	1999-12-28	252	A	5.3	A	3340	A
USGS	07137500	1999-12-29	255	A	5.2	A	3340	A
USGS	07137500	1999-12-30	257	A	5.0	A	3340	A
USGS	07137500	1999-12-31	254	A	4.7	A	3370	A
USGS	07137500	2000-01-01	261	A	5.1	A	3400	A
USGS	07137500	2000-01-02	270	A	5.4	A	3400	A
USGS	07137500	2000-01-03	281	A	3.2	A	3390	A
USGS	07137500	2000-01-04	277	A			3390	A
USGS	07137500	2000-01-05	271	A	2.5	A	3410	A
USGS	07137500	2000-01-06	277	A	4.4	A	3750	A
USGS	07137500	2000-01-07	280	A	3.7	A	3910	A
USGS	07137500	2000-01-08	274	A	3.3	A	3750	A
USGS	07137500	2000-01-09	260	A	3.7	A	3570	A
USGS	07137500	2000-01-10	251	A	4.0	A	3480	A
USGS	07137500	2000-01-11	247	A	4.3	A	3410	A
USGS	07137500	2000-01-12	246	A	5.8	A	3340	A
USGS	07137500	2000-01-13	241	A	6.0	A	3270	A
USGS	07137500	2000-01-14	241	A	4.8	A	3230	A
USGS	07137500	2000-01-15	243	A	5.0	A	3200	A
USGS	07137500	2000-01-16	241	A	4.9	A	3170	A
USGS	07137500	2000-01-17	237	A	5.4	A	3160	A
USGS	07137500	2000-01-18	234	A	6.7	A	3150	A
USGS	07137500	2000-01-19	236	A	7.1	A	3170	A
USGS	07137500	2000-01-20	233	A	5.7	A		
USGS	07137500	2000-01-21	234	A	5.1	A	3160	A
USGS	07137500	2000-01-22	234	A	4.9	A	3140	A
USGS	07137500	2000-01-23	234	A	5.9	A	3120	A
USGS	07137500	2000-01-24	234	A	5.0	A	3050	A
USGS	07137500	2000-01-25	233	A	3.8	A	3040	A
USGS	07137500	2000-01-26	232	A	2.8	A	3040	A
USGS	07137500	2000-01-27	232	A	2.8	A	3040	A
USGS	07137500	2000-01-28	230	A	3.3	A	3030	A
USGS	07137500	2000-01-29	228	A	3.1	A	3030	A
USGS	07137500	2000-01-30	229	A	3.2	A	3020	A
USGS	07137500	2000-01-31	240	A	4.2	A	3000	A
USGS	07137500	2000-02-01	240	A	3.8	A	2990	A
USGS	07137500	2000-02-02	263	A	4.2	A	2980	A
USGS	07137500	2000-02-03	304	A	5.6	A	2930	A
USGS	07137500	2000-02-04	331	A	5.7	A	2950	A
USGS	07137500	2000-02-05	349	A	5.4	A	2920	A
USGS	07137500	2000-02-06	361	A	6.1	A	2870	A
USGS	07137500	2000-02-07	376	A	6.4	A	2840	A
USGS	07137500	2000-02-08	405	A	6.5	A	2810	A
USGS	07137500	2000-02-09	596	A	6.2	A	2570	A
USGS	07137500	2000-02-10	666	A	5.7	A	2520	A
USGS	07137500	2000-02-11	614	A	4.0	A	2500	A
USGS	07137500	2000-02-12	429	A	3.4	A	2620	A
USGS	07137500	2000-02-13	363	A	4.3	A	2700	A
USGS	07137500	2000-02-14	332	A	5.1	A	2790	A
USGS	07137500	2000-02-15	314	A	7.0	A	2900	A
USGS	07137500	2000-02-16	299	A	7.2	A	2970	A
USGS	07137500	2000-02-17	290	A	5.8	A	2990	A
USGS	07137500	2000-02-18	283	A	5.3	A	3010	A
USGS	07137500	2000-02-19	318	A	5.1	A	3030	A
USGS	07137500	2000-02-20	363	A	5.2	A	3040	A
USGS	07137500	2000-02-21	382	A	7.7	A	3020	A
USGS	07137500	2000-02-22	380	A	9.4	A	2970	A
USGS	07137500	2000-02-23	397	A	10.5	A		
USGS	07137500	2000-02-24	511	A	9.0	A	2550	A
USGS	07137500	2000-02-25	554	A	7.8	A	2410	A
USGS	07137500	2000-02-26	485	A	8.0	A	2530	A
USGS	07137500	2000-02-27	474	A	7.8	A	2610	A
USGS	07137500	2000-02-28	461	A	8.2	A	2640	A
USGS	07137500	2000-02-29	415	A	8.9	A	2780	A
USGS	07137500	2000-03-01	388	A	8.6	A	2850	A
USGS	07137500	2000-03-02	380	A	7.1	A	2960	A
USGS	07137500	2000-03-03	374	A	7.2	A	3060	A
USGS	07137500	2000-03-04	438	A	9.4	A	2970	A
USGS	07137500	2000-03-05	455	A	10.7	A	2800	A
USGS	07137500	2000-03-06	427	A	10.9	A	2800	A
USGS	07137500	2000-03-07	409	A	12.3	A	2840	A
USGS	07137500	2000-03-08	496	A	10.4	A	2740	A
USGS	07137500	2000-03-09	485	A	9.9	A	2760	A
USGS	07137500	2000-03-10	488	A	7.2	A	2440	A
USGS	07137500	2000-03-11	713	A	6.3	A	2150	A
USGS	07137500	2000-03-12	756	A	7.8	A	2060	A
USGS	07137500	2000-03-13	546	A	8.9	A	2200	A
USGS	07137500	2000-03-14	480	A	9.7	A	2370	A
USGS	07137500	2000-03-15	445	A	10.5	A	2500	A
USGS	07137500	2000-03-16	441	A	7.0	A	2540	A
USGS	07137500	2000-03-17	427	A	6.3	A	2590	A
USGS	07137500	2000-03-18	396	A	7.0	A	2610	A
USGS	07137500	2000-03-19	372	A	8.2	A	2690	A
USGS	07137500	2000-03-20	387	A	8.8	A	2700	A
USGS	07137500	2000-03-21	391	A	6.1	A	2670	A
USGS	07137500	2000-03-22	429	A	6.4	A	2620	A
USGS	07137500	2000-03-23	454	A	8.1	A	2570	A
USGS	07137500	2000-03-24	467	A	10.3	A	2550	A
USGS	07137500	2000-03-25	428	A	13.2	A	2570	A
USGS	07137500	2000-03-26	405	A	14.2	A	2630	A
USGS	07137500	2000-03-27	372	A	14.0	A	2860	A
USGS	07137500	2000-03-28	308	A	12.4	A		
USGS	07137500	2000-03-29	294	A	10.6	A	3580	A
USGS	07137500	2000-03-30	289	A	9.7	A	3570	A
USGS	07137500	2000-03-31	314	A	8.0	A	3450	A
USGS	07137500	2000-04-01	370	A	8.6	A	3280	A
USGS	07137500	2000-04-02	417	A	9.5	A		
USGS	07137500	2000-04-03	419	A	9.3	A	3230	A
USGS	07137500	2000-04-04	414	A	10.5	A		
USGS	07137500	2000-04-05	390	A	14.4	A	3330	A
USGS	07137500	2000-04-06	357	A	15.1	A	3210	A
USGS	07137500	2000-04-07	327	A	13.1	A	2770	A
USGS	07137500	2000-04-08	316	A	11.3	A	2650	A
USGS	07137500	2000-04-09	315	A	13.4	A	2580	A
USGS	07137500	2000-04-10	301	A	14.4	A	3200	A
USGS	07137500	2000-04-11	278	A	13.5	A	3660	A
USGS	07137500	2000-04-12	276	A	13.6	A	3470	A
USGS	07137500	2000-04-13	279	A	15.3	A	3220	A
USGS	07137500	2000-04-14	270	A	17.3	A	2960	A
USGS	07137500	2000-04-15	258	A	11.7	A	2780	A
USGS	07137500	2000-04-16	287	A	11.1	A	2650	A
USGS	07137500	2000-04-17	291	A	13.9	A	2540	A
USGS	07137500	2000-04-18	285	A	16.2	A	2500	A
USGS	07137500	2000-04-19	278	A	15.0	A	2930	A
USGS	07137500	2000-04-20	270	A	12.2	A	2700	A
USGS	07137500	2000-04-21	323	A	14.5	A	2870	A
USGS	07137500	2000-04-22	291	A	14.9	A	3610	A
USGS	07137500	2000-04-23	293	A	15.2	A	3560	A
USGS	07137500	2000-04-24	320	A	16.7	A	3330	A
USGS	07137500	2000-04-25	363	A	16.3	A	2870	A
USGS	07137500	2000-04-26	330	A	17.0	A	2960	A
USGS	07137500	2000-04-27	272	A	17.4	A	3590	A
USGS	07137500	2000-04-28	242	A	16.8	A	3490	A
USGS	07137500	2000-04-29	244	A	17.0	A	3500	A
USGS	07137500	2000-04-30	299	A	14.2	A	2980	A
USGS	07137500	2000-05-01	668	A	11.4	A	1960	A
USGS	07137500	2000-05-02	572	A	13.7	A	1890	A
USGS	07137500	2000-05-03	459	A	17.2	A	2140	A
USGS	07137500	2000-05-04	397	A	19.4	A	2230	A
USGS	07137500	2000-05-05	356	A	21.1	A	2290	A
USGS	07137500	2000-05-06	329	A	22.2	A	2230	A
USGS	07137500	2000-05-07	324	A	22.4	A	2680	A
USGS	07137500	2000-05-08	302	A	19.3	A	3440	A
USGS	07137500	2000-05-09	276	A	17.9	A	3520	A
USGS	07137500	2000-05-10	250	A	19.1	A		
USGS	07137500	2000-05-11	224	A	20.0	A	3800	A
USGS	07137500	2000-05-12	224	A	16.3	A	3750	A
USGS	07137500	2000-05-13	237	A	15.6	A	3650	A
USGS	07137500	2000-05-14	255	A	16.3	A	3480	A
USGS	07137500	2000-05-15	298	A	18.6	A	3170	A
USGS	07137500	2000-05-16	302	A	19.5	A	3140	A
USGS	07137500	2000-05-17	306	A	18.2	A	3350	A
USGS	07137500	2000-05-18	268	A	12.4	A	3560	A
USGS	07137500	2000-05-19	260	A	14.5	A	3570	A
USGS	07137500	2000-05-20	281	A	17.6	A	3370	A
USGS	07137500	2000-05-21	280	A	18.9	A	3230	A
USGS	07137500	2000-05-22	291	A	20.5	A	3110	A
USGS	07137500	2000-05-23	279	A	22.1	A	3110	A
USGS	07137500	2000-05-24	232	A	20.8	A	3250	A
USGS	07137500	2000-05-25	212	A	18.8	A	3210	A
USGS	07137500	2000-05-26	219	A	20.0	A	3410	A
USGS	07137500	2000-05-27	229	A	21.4	A	3290	A
USGS	07137500	2000-05-28	223	A	22.6	A	3230	A
USGS	07137500	2000-05-29	237	A	23.1	A	3410	A
USGS	07137500	2000-05-30	243	A	22.2	A	2910	A
USGS	07137500	2000-05-31	208	A	22.2	A	2740	A
USGS	07137500	2000-06-01	218	A	21.6	A	2810	A
USGS	07137500	2000-06-02	214	A	20.3	A	3100	A
USGS	07137500	2000-06-03	213	A	21.5	A	3490	A
USGS	07137500	2000-06-04	345	A	21.1	A	2450	A
USGS	07137500	2000-06-05	401	A	19.7	A	1920	A
USGS	07137500	2000-06-06	459	A	20.1	A	1900	A
USGS	07137500	2000-06-07	542	A	22.3	A	1910	A
USGS	07137500	2000-06-08	575	A	22.0	A	1900	A
