# ---------------------------------- WARNING ----------------------------------------				
# The data you have obtained from this automated U.S. Geological Survey database				
# have not received Director's approval and as such are provisional and subject to				
# revision.  The data are released on the condition that neither the USGS nor the				
# United States Government may be held liable for any damages resulting from its use.				
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional				
#				
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info				
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info				
#				
# Contact:   gs-w_support_nwisweb@usgs.gov				
# retrieved: 2012-01-11 22:47:55 EST       (caww02)				
#				
# Data for the following 1 site(s) are contained in this file				
USGS	7133000	5/25/1999	2410	A
USGS	7133000	5/26/1999	2120	A
USGS	7133000	5/27/1999	2410	A
USGS	7133000	5/28/1999	2430	A
USGS	7133000	5/29/1999	2440	A
USGS	7133000	5/30/1999	2430	A
USGS	7133000	5/31/1999	2400	A
USGS	7133000	6/1/1999	2410	A
USGS	7133000	6/2/1999	2460	A
USGS	7133000	6/3/1999	2450	A
USGS	7133000	6/4/1999	2630	A
USGS	7133000	6/5/1999	2590	A
USGS	7133000	6/6/1999	2680	A
USGS	7133000	6/7/1999	2700	A
USGS	7133000	6/8/1999	2660	A
USGS	7133000	6/9/1999	2640	A
USGS	7133000	6/10/1999	2550	A
USGS	7133000	6/11/1999	2160	A
USGS	7133000	6/12/1999	2110	A
USGS	7133000	6/13/1999	2050	A
USGS	7133000	6/14/1999	1950	A
USGS	7133000	6/15/1999	1970	A
USGS	7133000	6/16/1999	1900	A
USGS	7133000	6/17/1999	1590	A
USGS	7133000	6/18/1999	1590	A
USGS	7133000	6/19/1999	1550	A
USGS	7133000	6/20/1999	1540	A
USGS	7133000	6/21/1999	1550	A
USGS	7133000	6/22/1999	1540	A
USGS	7133000	6/23/1999	1460	A
USGS	7133000	6/24/1999	1170	A
USGS	7133000	6/25/1999	1090	A
USGS	7133000	6/26/1999	781	A
USGS	7133000	6/27/1999	802	A
USGS	7133000	6/28/1999	838	A
USGS	7133000	6/29/1999	1300	A
USGS	7133000	6/30/1999	1380	A
USGS	7133000	7/1/1999	1200	A
USGS	7133000	7/2/1999	816	A
USGS	7133000	7/3/1999	324	A
USGS	7133000	7/4/1999	281	A
USGS	7133000	7/5/1999	243	A
USGS	7133000	7/6/1999	187	A
USGS	7133000	7/7/1999	131	A
USGS	7133000	7/8/1999	133	A
USGS	7133000	7/9/1999	582	A
USGS	7133000	7/10/1999	559	A
USGS	7133000	7/11/1999	544	A
USGS	7133000	7/12/1999	515	A
USGS	7133000	7/13/1999	462	A
USGS	7133000	7/14/1999	416	A
USGS	7133000	7/15/1999	436	A
USGS	7133000	7/16/1999	748	A
USGS	7133000	7/17/1999	735	A
USGS	7133000	7/18/1999	557	A
USGS	7133000	7/19/1999	553	A
USGS	7133000	7/20/1999	497	A
USGS	7133000	7/21/1999	488	A
USGS	7133000	7/22/1999	486	A
USGS	7133000	7/23/1999	478	A
USGS	7133000	7/24/1999	534	A
USGS	7133000	7/25/1999	564	A
USGS	7133000	7/26/1999	561	A
USGS	7133000	7/27/1999	570	A
USGS	7133000	7/28/1999	665	A
USGS	7133000	7/29/1999	663	A
USGS	7133000	7/30/1999	644	A
USGS	7133000	7/31/1999	665	A
USGS	7133000	8/1/1999	1290	A
USGS	7133000	8/2/1999	1290	A
USGS	7133000	8/3/1999	220	A
USGS	7133000	8/4/1999	215	A
USGS	7133000	8/5/1999	168	A
USGS	7133000	8/6/1999	130	A
USGS	7133000	8/7/1999	98	A
USGS	7133000	8/8/1999	139	A
USGS	7133000	8/9/1999	989	A
USGS	7133000	8/10/1999	1510	A
USGS	7133000	8/11/1999	2320	A
USGS	7133000	8/12/1999	2470	A
USGS	7133000	8/13/1999	2480	A
USGS	7133000	8/14/1999	2440	A
USGS	7133000	8/15/1999	2400	A
USGS	7133000	8/16/1999	2290	A
USGS	7133000	8/17/1999	1230	A
USGS	7133000	8/18/1999	367	A
USGS	7133000	8/19/1999	261	A
USGS	7133000	8/20/1999	213	A
USGS	7133000	8/21/1999	221	A
USGS	7133000	8/22/1999	193	A
USGS	7133000	8/23/1999	157	A
USGS	7133000	8/24/1999	129	A
USGS	7133000	8/25/1999	106	A
USGS	7133000	8/26/1999	106	A
USGS	7133000	8/27/1999	98	A
USGS	7133000	8/28/1999	89	A
USGS	7133000	8/29/1999	77	A
USGS	7133000	8/30/1999	95	A
USGS	7133000	8/31/1999	64	A
USGS	7133000	9/1/1999	47	A
USGS	7133000	9/2/1999	50	A
USGS	7133000	9/3/1999	59	A
USGS	7133000	9/4/1999	55	A
USGS	7133000	9/5/1999	82	A
USGS	7133000	9/6/1999	93	A
USGS	7133000	9/7/1999	93	A
USGS	7133000	9/8/1999	86	A
USGS	7133000	9/9/1999	52	A
USGS	7133000	9/10/1999	47	A
USGS	7133000	9/11/1999	59	A
USGS	7133000	9/12/1999	59	A
USGS	7133000	9/13/1999	61	A
USGS	7133000	9/14/1999	54	A
USGS	7133000	9/15/1999	51	A
USGS	7133000	9/16/1999	67	A
USGS	7133000	9/17/1999	75	A
USGS	7133000	9/18/1999	59	A
USGS	7133000	9/19/1999	54	A
USGS	7133000	9/20/1999	53	A
USGS	7133000	9/21/1999	45	A
USGS	7133000	9/22/1999	36	A
USGS	7133000	9/23/1999	34	A
USGS	7133000	9/24/1999	34	A
USGS	7133000	9/25/1999	33	A
USGS	7133000	9/26/1999	32	A
USGS	7133000	9/27/1999	32	A
USGS	7133000	9/28/1999	31	A
USGS	7133000	9/29/1999	33	A
USGS	7133000	9/30/1999	38	A
USGS	7133000	10/1/1999	36	A
USGS	7133000	10/2/1999	35	A
USGS	7133000	10/3/1999	36	A
USGS	7133000	10/4/1999	32	A
USGS	7133000	10/5/1999	28	A
USGS	7133000	10/6/1999	35	A
USGS	7133000	10/7/1999	29	A
USGS	7133000	10/8/1999	31	A
USGS	7133000	10/9/1999	29	A
USGS	7133000	10/10/1999	27	A
USGS	7133000	10/11/1999	25	A
USGS	7133000	10/12/1999	26	A
USGS	7133000	10/13/1999	29	A
USGS	7133000	10/14/1999	29	A
USGS	7133000	10/15/1999	30	A
USGS	7133000	10/16/1999	33	A
USGS	7133000	10/17/1999	42	A
USGS	7133000	10/18/1999	35	A
USGS	7133000	10/19/1999	31	A
USGS	7133000	10/20/1999	32	A
USGS	7133000	10/21/1999	32	A
USGS	7133000	10/22/1999	33	A
USGS	7133000	10/23/1999	28	A
USGS	7133000	10/24/1999	25	A
USGS	7133000	10/25/1999	25	A
USGS	7133000	10/26/1999	25	A
USGS	7133000	10/27/1999	25	A
USGS	7133000	10/28/1999	24	A
USGS	7133000	10/29/1999	27	A
USGS	7133000	10/30/1999	30	A
USGS	7133000	10/31/1999	26	A
USGS	7133000	11/1/1999	22	A
USGS	7133000	11/2/1999	22	A
USGS	7133000	11/3/1999	22	A
USGS	7133000	11/4/1999	23	A
USGS	7133000	11/5/1999	22	A
USGS	7133000	11/6/1999	22	A
USGS	7133000	11/7/1999	22	A
USGS	7133000	11/8/1999	23	A
USGS	7133000	11/9/1999	25	A
USGS	7133000	11/10/1999	29	A
USGS	7133000	11/11/1999	29	A
USGS	7133000	11/12/1999	29	A
USGS	7133000	11/13/1999	32	A
USGS	7133000	11/14/1999	31	A
USGS	7133000	11/15/1999	31	A
USGS	7133000	11/16/1999	29	A
USGS	7133000	11/17/1999	27	A
USGS	7133000	11/18/1999	27	A
USGS	7133000	11/19/1999	29	A
USGS	7133000	11/20/1999	27	A
USGS	7133000	11/21/1999	26	A
USGS	7133000	11/22/1999	26	A
USGS	7133000	11/23/1999	25	A
USGS	7133000	11/24/1999	38	A
USGS	7133000	11/25/1999	60	A
USGS	7133000	11/26/1999	59	A
USGS	7133000	11/27/1999	55	A
USGS	7133000	11/28/1999	49	A
USGS	7133000	11/29/1999	48	A
USGS	7133000	11/30/1999	56	A
USGS	7133000	12/1/1999	82	A
USGS	7133000	12/2/1999	68	A
USGS	7133000	12/3/1999	63	A
USGS	7133000	12/4/1999	62	A
USGS	7133000	12/5/1999	59	A
USGS	7133000	12/6/1999	58	A
USGS	7133000	12/7/1999	57	A
USGS	7133000	12/8/1999	55	A
USGS	7133000	12/9/1999	56	A
USGS	7133000	12/10/1999	54	A
USGS	7133000	12/11/1999	53	A
USGS	7133000	12/12/1999	53	A
USGS	7133000	12/13/1999	52	A
USGS	7133000	12/14/1999	50	A
USGS	7133000	12/15/1999	56	A
USGS	7133000	12/16/1999	61	A
USGS	7133000	12/17/1999	53	A
USGS	7133000	12/18/1999	56	A
USGS	7133000	12/19/1999	56	A
USGS	7133000	12/20/1999	54	A
USGS	7133000	12/21/1999	51	A
USGS	7133000	12/22/1999	47	A
USGS	7133000	12/23/1999	44	A
USGS	7133000	12/24/1999	43	A
USGS	7133000	12/25/1999	45	A
USGS	7133000	12/26/1999	45	A
USGS	7133000	12/27/1999	42	A
USGS	7133000	12/28/1999	46	A
USGS	7133000	12/29/1999	46	A
USGS	7133000	12/30/1999	43	A
USGS	7133000	12/31/1999	45	A
USGS	7133000	1/1/2000	42	A
USGS	7133000	1/2/2000	45	A
USGS	7133000	1/3/2000	49	A
USGS	7133000	1/4/2000	46	A
USGS	7133000	1/5/2000	48	A
USGS	7133000	1/6/2000	46	A
USGS	7133000	1/7/2000	45	A
USGS	7133000	1/8/2000	44	A
USGS	7133000	1/9/2000	44	A
USGS	7133000	1/10/2000	43	A
USGS	7133000	1/11/2000	41	A
USGS	7133000	1/12/2000	42	A
USGS	7133000	1/13/2000	42	A
USGS	7133000	1/14/2000	44	A
USGS	7133000	1/15/2000	54	A
USGS	7133000	1/16/2000	57	A
USGS	7133000	1/17/2000	58	A
USGS	7133000	1/18/2000	57	A
USGS	7133000	1/19/2000	57	A
USGS	7133000	1/20/2000	56	A
USGS	7133000	1/21/2000	53	A
USGS	7133000	1/22/2000	55	A
USGS	7133000	1/23/2000	57	A
USGS	7133000	1/24/2000	58	A
USGS	7133000	1/25/2000	56	A
USGS	7133000	1/26/2000	56	A
USGS	7133000	1/27/2000	55	A
USGS	7133000	1/28/2000	57	A
USGS	7133000	1/29/2000	58	A
USGS	7133000	1/30/2000	73	A
USGS	7133000	1/31/2000	76	A
USGS	7133000	2/1/2000	157	A
USGS	7133000	2/2/2000	208	A
USGS	7133000	2/3/2000	215	A
USGS	7133000	2/4/2000	210	A
USGS	7133000	2/5/2000	214	A
USGS	7133000	2/6/2000	232	A
USGS	7133000	2/7/2000	274	A
USGS	7133000	2/8/2000	574	A
USGS	7133000	2/9/2000	654	A
USGS	7133000	2/10/2000	537	A
USGS	7133000	2/11/2000	205	A
USGS	7133000	2/12/2000	173	A
USGS	7133000	2/13/2000	152	A
USGS	7133000	2/14/2000	140	A
USGS	7133000	2/15/2000	126	A
USGS	7133000	2/16/2000	114	A
USGS	7133000	2/17/2000	100	A
USGS	7133000	2/18/2000	181	A
USGS	7133000	2/19/2000	219	A
USGS	7133000	2/20/2000	226	A
USGS	7133000	2/21/2000	218	A
USGS	7133000	2/22/2000	248	A
USGS	7133000	2/23/2000	424	A
USGS	7133000	2/24/2000	408	A
USGS	7133000	2/25/2000	285	A
USGS	7133000	2/26/2000	281	A
USGS	7133000	2/27/2000	264	A
USGS	7133000	2/28/2000	177	A
USGS	7133000	2/29/2000	149	A
USGS	7133000	3/1/2000	111	A
USGS	7133000	3/2/2000	63	A
USGS	7133000	3/3/2000	66	A
USGS	7133000	3/4/2000	63	A
USGS	7133000	3/5/2000	49	A
USGS	7133000	3/6/2000	53	A
USGS	7133000	3/7/2000	89	A
USGS	7133000	3/8/2000	152	A
USGS	7133000	3/9/2000	161	A
USGS	7133000	3/10/2000	505	A
USGS	7133000	3/11/2000	429	A
USGS	7133000	3/12/2000	107	A
USGS	7133000	3/13/2000	82	A
USGS	7133000	3/14/2000	64	A
USGS	7133000	3/15/2000	56	A
USGS	7133000	3/16/2000	71	A
USGS	7133000	3/17/2000	62	A
USGS	7133000	3/18/2000	60	A
USGS	7133000	3/19/2000	66	A
USGS	7133000	3/20/2000	59	A
USGS	7133000	3/21/2000	64	A
USGS	7133000	3/22/2000	76	A
USGS	7133000	3/23/2000	77	A
USGS	7133000	3/24/2000	80	A
USGS	7133000	3/25/2000	64	A
USGS	7133000	3/26/2000	57	A
USGS	7133000	3/27/2000	51	A
USGS	7133000	3/28/2000	42	A
USGS	7133000	3/29/2000	41	A
USGS	7133000	3/30/2000	41	A
USGS	7133000	3/31/2000	77	A
USGS	7133000	4/1/2000	100	A
USGS	7133000	4/2/2000	101	A
USGS	7133000	4/3/2000	87	A
USGS	7133000	4/4/2000	79	A
USGS	7133000	4/5/2000	73	A
USGS	7133000	4/6/2000	66	A
USGS	7133000	4/7/2000	57	A
USGS	7133000	4/8/2000	56	A
USGS	7133000	4/9/2000	49	A
USGS	7133000	4/10/2000	39	A
USGS	7133000	4/11/2000	39	A
USGS	7133000	4/12/2000	36	A
USGS	7133000	4/13/2000	37	A
USGS	7133000	4/14/2000	31	A
USGS	7133000	4/15/2000	41	A
USGS	7133000	4/16/2000	64	A
USGS	7133000	4/17/2000	59	A
USGS	7133000	4/18/2000	53	A
USGS	7133000	4/19/2000	35	A
USGS	7133000	4/20/2000	35	A
USGS	7133000	4/21/2000	35	A
USGS	7133000	4/22/2000	32	A
USGS	7133000	4/23/2000	66	A
USGS	7133000	4/24/2000	94	A
USGS	7133000	4/25/2000	79	A
USGS	7133000	4/26/2000	62	A
USGS	7133000	4/27/2000	54	A
USGS	7133000	4/28/2000	49	A
USGS	7133000	4/29/2000	38	A
USGS	7133000	4/30/2000	423	A
USGS	7133000	5/1/2000	129	A
USGS	7133000	5/2/2000	84	A
USGS	7133000	5/3/2000	64	A
USGS	7133000	5/4/2000	45	A
USGS	7133000	5/5/2000	34	A
USGS	7133000	5/6/2000	33	A
USGS	7133000	5/7/2000	32	A
USGS	7133000	5/8/2000	32	A
USGS	7133000	5/9/2000	37	A
USGS	7133000	5/10/2000	36	A
USGS	7133000	5/11/2000	54	A
USGS	7133000	5/12/2000	51	A
USGS	7133000	5/13/2000	74	A
USGS	7133000	5/14/2000	75	A
USGS	7133000	5/15/2000	66	A
USGS	7133000	5/16/2000	50	A
USGS	7133000	5/17/2000	43	A
USGS	7133000	5/18/2000	41	A
USGS	7133000	5/19/2000	41	A
USGS	7133000	5/20/2000	43	A
USGS	7133000	5/21/2000	39	A
USGS	7133000	5/22/2000	35	A
USGS	7133000	5/23/2000	30	A
USGS	7133000	5/24/2000	31	A
USGS	7133000	5/25/2000	31	A
USGS	7133000	5/26/2000	31	A
USGS	7133000	5/27/2000	32	A
USGS	7133000	5/28/2000	30	A
USGS	7133000	5/29/2000	30	A
USGS	7133000	5/30/2000	29	A
USGS	7133000	5/31/2000	31	A
USGS	7133000	6/1/2000	29	A
USGS	7133000	6/2/2000	47	A
USGS	7133000	6/3/2000	328	A
USGS	7133000	6/4/2000	345	A
USGS	7133000	6/5/2000	372	A
USGS	7133000	6/6/2000	496	A
USGS	7133000	6/7/2000	590	A
USGS	7133000	6/8/2000	653	A
USGS	7133000	6/9/2000	762	A
USGS	7133000	6/10/2000	1100	A
USGS	7133000	6/11/2000	1140	A
USGS	7133000	6/12/2000	1160	A
USGS	7133000	6/13/2000	943	A
USGS	7133000	6/14/2000	815	A
USGS	7133000	6/15/2000	767	A
USGS	7133000	6/16/2000	744	A
USGS	7133000	6/17/2000	787	A
USGS	7133000	6/18/2000	797	A
USGS	7133000	6/19/2000	767	A
USGS	7133000	6/20/2000	718	A
USGS	7133000	6/21/2000	662	A
USGS	7133000	6/22/2000	615	A
USGS	7133000	6/23/2000	613	A
USGS	7133000	6/24/2000	599	A
USGS	7133000	6/25/2000	591	A
USGS	7133000	6/26/2000	604	A
USGS	7133000	6/27/2000	639	A
USGS	7133000	6/28/2000	654	A
USGS	7133000	6/29/2000	650	A
USGS	7133000	6/30/2000	633	A
USGS	7133000	7/1/2000	572	A
USGS	7133000	7/2/2000	647	A
USGS	7133000	7/3/2000	667	A
USGS	7133000	7/4/2000	461	A
USGS	7133000	7/5/2000	466	A
USGS	7133000	7/6/2000	515	A
USGS	7133000	7/7/2000	548	A
USGS	7133000	7/8/2000	632	A
USGS	7133000	7/9/2000	640	A
USGS	7133000	7/10/2000	653	A
USGS	7133000	7/11/2000	774	A
USGS	7133000	7/12/2000	710	A
USGS	7133000	7/13/2000	651	A
USGS	7133000	7/14/2000	611	A
USGS	7133000	7/15/2000	646	A
USGS	7133000	7/16/2000	664	A
USGS	7133000	7/17/2000	771	A
USGS	7133000	7/18/2000	888	A
USGS	7133000	7/19/2000	667	A
USGS	7133000	7/20/2000	600	A
USGS	7133000	7/21/2000	558	A
USGS	7133000	7/22/2000	461	A
USGS	7133000	7/23/2000	465	A
USGS	7133000	7/24/2000	395	A
USGS	7133000	7/25/2000	163	A
USGS	7133000	7/26/2000	71	A
USGS	7133000	7/27/2000	65	A
USGS	7133000	7/28/2000	70	A
USGS	7133000	7/29/2000	342	A
USGS	7133000	7/30/2000	383	A
USGS	7133000	7/31/2000	422	A
USGS	7133000	8/1/2000	650	A
USGS	7133000	8/2/2000	668	A
USGS	7133000	8/3/2000	646	A
USGS	7133000	8/4/2000	683	A
USGS	7133000	8/5/2000	844	A
USGS	7133000	8/6/2000	854	A
USGS	7133000	8/7/2000	880	A
USGS	7133000	8/8/2000	849	A
USGS	7133000	8/9/2000	884	A
USGS	7133000	8/10/2000	875	A
USGS	7133000	8/11/2000	706	A
USGS	7133000	8/12/2000	476	A
USGS	7133000	8/13/2000	446	A
USGS	7133000	8/14/2000	428	A
USGS	7133000	8/15/2000	411	A
USGS	7133000	8/16/2000	402	A
USGS	7133000	8/17/2000	352	A
USGS	7133000	8/18/2000	95	A
USGS	7133000	8/19/2000	280	A
USGS	7133000	8/20/2000	276	A
USGS	7133000	8/21/2000	286	A
USGS	7133000	8/22/2000	296	A
USGS	7133000	8/23/2000	276	A
USGS	7133000	8/24/2000	282	A
USGS	7133000	8/25/2000	279	A
USGS	7133000	8/26/2000	237	A
USGS	7133000	8/27/2000	241	A
USGS	7133000	8/28/2000	232	A
USGS	7133000	8/29/2000	201	A
USGS	7133000	8/30/2000	181	A
USGS	7133000	8/31/2000	69	A
USGS	7133000	9/1/2000	49	A
USGS	7133000	9/2/2000	45	A
USGS	7133000	9/3/2000	44	A
USGS	7133000	9/4/2000	41	A
USGS	7133000	9/5/2000	34	A
USGS	7133000	9/6/2000	30	A
USGS	7133000	9/7/2000	26	A
USGS	7133000	9/8/2000	32	A
USGS	7133000	9/9/2000	27	A
USGS	7133000	9/10/2000	23	A
USGS	7133000	9/11/2000	22	A
USGS	7133000	9/12/2000	20	A
USGS	7133000	9/13/2000	20	A
USGS	7133000	9/14/2000	19	A
USGS	7133000	9/15/2000	18	A
USGS	7133000	9/16/2000	17	A
USGS	7133000	9/17/2000	16	A
USGS	7133000	9/18/2000	16	A
USGS	7133000	9/19/2000	16	A
USGS	7133000	9/20/2000	18	A
USGS	7133000	9/21/2000	15	A
USGS	7133000	9/22/2000	14	A
USGS	7133000	9/23/2000	14	A
USGS	7133000	9/24/2000	14	A
USGS	7133000	9/25/2000	13	A
USGS	7133000	9/26/2000	12	A
USGS	7133000	9/27/2000	211	A
USGS	7133000	9/28/2000	275	A
USGS	7133000	9/29/2000	298	A
USGS	7133000	9/30/2000	350	A
USGS	7133000	10/1/2000	357	A
USGS	7133000	10/2/2000	358	A
USGS	7133000	10/3/2000	361	A
USGS	7133000	10/4/2000	358	A
USGS	7133000	10/5/2000	356	A
USGS	7133000	10/6/2000	363	A
USGS	7133000	10/7/2000	349	A
USGS	7133000	10/8/2000	342	A
USGS	7133000	10/9/2000	326	A
USGS	7133000	10/10/2000	232	A
USGS	7133000	10/11/2000	219	A
USGS	7133000	10/12/2000	107	A
USGS	7133000	10/13/2000	47	A
USGS	7133000	10/14/2000	58	A
USGS	7133000	10/15/2000	44	A
USGS	7133000	10/16/2000	43	A
USGS	7133000	10/17/2000	42	A
USGS	7133000	10/18/2000	41	A
USGS	7133000	10/19/2000	40	A
USGS	7133000	10/20/2000	38	A
USGS	7133000	10/21/2000	37	A
USGS	7133000	10/22/2000	36	A
USGS	7133000	10/23/2000	38	A
USGS	7133000	10/24/2000	44	A
USGS	7133000	10/25/2000	36	A
USGS	7133000	10/26/2000	41	A
USGS	7133000	10/27/2000	49	A
USGS	7133000	10/28/2000	67	A
USGS	7133000	10/29/2000	79	A
USGS	7133000	10/30/2000	54	A
USGS	7133000	10/31/2000	43	A
USGS	7133000	11/1/2000	44	A
USGS	7133000	11/2/2000	57	A
USGS	7133000	11/3/2000	43	A
USGS	7133000	11/4/2000	34	A
USGS	7133000	11/5/2000	33	A
USGS	7133000	11/6/2000	31	A
USGS	7133000	11/7/2000	31	A
USGS	7133000	11/8/2000	30	A
USGS	7133000	11/9/2000	29	A
USGS	7133000	11/10/2000	28	A
USGS	7133000	11/11/2000	28	A
USGS	7133000	11/12/2000	28	A
USGS	7133000	11/13/2000	28	A
USGS	7133000	11/14/2000	28	A
USGS	7133000	11/15/2000	29	A
USGS	7133000	11/16/2000	30	A
USGS	7133000	11/17/2000	27	A
USGS	7133000	11/18/2000	27	A
USGS	7133000	11/19/2000	27	A
USGS	7133000	11/20/2000	26	A
USGS	7133000	11/21/2000	25	A
USGS	7133000	11/22/2000	34	A
USGS	7133000	11/23/2000	53	A
USGS	7133000	11/24/2000	52	A
USGS	7133000	11/25/2000	54	A
USGS	7133000	11/26/2000	52	A
USGS	7133000	11/27/2000	51	A
USGS	7133000	11/28/2000	50	A
USGS	7133000	11/29/2000	48	A
USGS	7133000	11/30/2000	48	A
USGS	7133000	12/1/2000	46	A
USGS	7133000	12/2/2000	45	A
USGS	7133000	12/3/2000	45	A
USGS	7133000	12/4/2000	44	A
USGS	7133000	12/5/2000	44	A
USGS	7133000	12/6/2000	42	A
USGS	7133000	12/7/2000	41	A
USGS	7133000	12/8/2000	44	A
USGS	7133000	12/9/2000	44	A
USGS	7133000	12/10/2000	43	A
USGS	7133000	12/11/2000	44	A
USGS	7133000	12/12/2000	45	A
USGS	7133000	12/13/2000	42	A
USGS	7133000	12/14/2000	42	A
USGS	7133000	12/15/2000	41	A
USGS	7133000	12/16/2000	40	A
USGS	7133000	12/17/2000	41	A
USGS	7133000	12/18/2000	38	A
USGS	7133000	12/19/2000	35	A
USGS	7133000	12/20/2000	34	A
USGS	7133000	12/21/2000	38	A
USGS	7133000	12/22/2000	36	A
USGS	7133000	12/23/2000	36	A
USGS	7133000	12/24/2000	36	A
USGS	7133000	12/25/2000	33	A
USGS	7133000	12/26/2000	37	A
USGS	7133000	12/27/2000	39	A
USGS	7133000	12/28/2000	37	A
USGS	7133000	12/29/2000	34	A
USGS	7133000	12/30/2000	33	A
USGS	7133000	12/31/2000	34	A
USGS	7133000	1/1/2001	34	A
USGS	7133000	1/2/2001	34	A
USGS	7133000	1/3/2001	35	A
USGS	7133000	1/4/2001	35	A
USGS	7133000	1/5/2001	34	A
USGS	7133000	1/6/2001	34	A
USGS	7133000	1/7/2001	32	A
USGS	7133000	1/8/2001	31	A
USGS	7133000	1/9/2001	31	A
USGS	7133000	1/10/2001	30	A
USGS	7133000	1/11/2001	30	A
USGS	7133000	1/12/2001	30	A
USGS	7133000	1/13/2001	30	A
USGS	7133000	1/14/2001	30	A
USGS	7133000	1/15/2001	30	A
